,crit_vs_sec_last_insp,prior_2p_crit_insps
30075445,1,2
30112340,3,4
30191841,1,0
40356018,0,0
40356151,1,4
40356483,1,2
40356731,0,1
40357217,1,0
40359480,0,0
40359705,1,3
40360045,1,4
40360076,1,0
40361322,1,2
40361606,2,1
40361618,1,3
40361708,1,3
40361998,0,1
40362098,1,3
40362264,2,4
40362274,3,2
40362432,1,3
40362715,4,6
40362869,1,1
40363093,1,2
40363098,1,0
40363289,1,3
40363298,1,1
40363333,1,2
40363426,1,1
40363427,1,3
40363565,3,4
40363630,1,4
40363644,1,1
40363685,0,0
40363744,0,0
40363834,1,1
40363920,1,1
40363945,3,5
40364149,1,2
40364179,2,7
40364220,2,2
40364286,1,3
40364296,0,1
40364299,0,5
40364305,1,2
40364335,2,3
40364347,1,5
40364362,1,3
40364363,1,1
40364373,0,0
40364389,1,2
40364404,0,0
40364439,5,3
40364443,1,1
40364449,3,2
40364467,3,3
40364518,1,3
40364529,2,3
40364531,1,3
40364572,1,1
40364576,5,7
40364581,1,1
40364668,3,3
40364681,1,1
40364691,2,2
40364715,2,4
40364744,0,2
40364858,1,1
40364863,1,4
40364889,1,0
40364920,1,0
40364956,1,3
40364958,0,0
40365013,2,1
40365022,1,0
40365043,1,1
40365075,0,1
40365098,1,5
40365120,3,2
40365166,3,5
40365226,2,9
40365239,2,4
40365264,2,2
40365280,0,1
40365288,3,4
40365293,3,1
40365348,2,3
40365355,1,3
40365361,2,4
40365387,1,1
40365414,2,3
40365454,3,7
40365472,3,7
40365499,4,3
40365525,3,4
40365546,1,3
40365577,1,1
40365627,2,3
40365632,3,2
40365644,1,1
40365709,2,9
40365726,3,3
40365784,1,3
40365789,1,4
40365841,1,5
40365844,1,0
40365871,1,0
40365882,1,3
40365893,1,3
40365904,1,4
40365938,1,2
40365942,4,6
40365968,2,4
40365972,2,3
40366002,1,1
40366054,2,2
40366109,1,4
40366132,1,1
40366154,0,3
40366162,1,3
40366222,2,5
40366230,2,7
40366356,1,4
40366361,2,3
40366379,2,5
40366381,1,0
40366396,1,6
40366425,1,1
40366471,1,0
40366473,1,2
40366487,1,0
40366497,1,2
40366543,3,12
40366549,1,2
40366574,1,4
40366586,2,4
40366643,0,0
40366652,1,1
40366661,2,5
40366711,3,8
40366716,2,3
40366742,2,1
40366748,2,8
40366812,3,6
40366833,0,2
40366857,1,0
40366879,1,4
40366928,2,3
40366929,2,11
40366938,3,6
40366961,3,2
40366993,1,2
40367005,1,5
40367038,1,0
40367161,1,5
40367164,3,1
40367179,1,4
40367183,2,2
40367189,2,5
40367232,2,1
40367240,1,0
40367241,4,9
40367278,1,1
