,crit_violations,non_crit_violations,earliest_inspection,latest_inspection,second_latest_inspection,zipcode,boro,cuisine,address,num_inspections,crit_violations_recent_inspect,non_crit_violations_recent_inspect,crit_violations_train,non_crit_violations_train,num_inspections_train,average_crit_v_train,average_non_crit_v_train,time_since_last_inspection,time_since_first_inspection,crit_v_2plus,address2,latitude,longitude
50002863,16.0,6.0,2013-10-10,2016-05-23,2015-12-17,11223,BROOKLYN,Sandwiches,2033 STILLWELL AVE,8,1,1,15.0,5.0,7,2.14285714286,0.714285714286,158,956,0,"2033 STILLWELL AVE, NY",40.5971145,-73.9850908
50002867,26.0,15.0,2014-02-10,2016-10-26,2016-09-27,10011,MANHATTAN,Japanese,513 AVENUE OF THE AMERICAS,9,2,2,24.0,13.0,8,3.0,1.625,29,989,1,"513 AVENUE OF THE AMERICAS, NY",40.7369959,-73.99743795
50002871,13.0,6.0,2014-12-08,2016-12-19,2016-09-13,10010,MANHATTAN,American,344 3RD AVENUE,5,2,3,11.0,3.0,4,2.75,0.75,97,742,1,"344 3RD AVENUE, NY",40.74045775,-73.9823365537
50002875,53.0,15.0,2014-07-07,2017-02-14,2017-02-06,11220,BROOKLYN,Mexican,4616 5TH AVE,15,3,1,50.0,14.0,14,3.57142857143,1.0,8,953,1,"4616 5TH AVE, NY",40.64713875,-74.0085962119
50002889,14.0,9.0,2014-07-21,2017-01-26,2016-09-11,11249,BROOKLYN,American,90 WYTHE AVE.,8,1,1,13.0,8.0,7,1.85714285714,1.14285714286,137,920,0,"90 WYTHE AVE., NY",40.7217038,-73.9582537
50002890,18.0,9.0,2013-12-23,2016-11-16,2016-10-18,11379,QUEENS,Chinese,6548 METROPOLITAN AVE,11,1,1,17.0,8.0,10,1.7,0.8,29,1059,0,"6548 METROPOLITAN AVE, NY",40.71276,-73.9022429
50002897,28.0,11.0,2013-12-02,2016-11-21,2015-11-19,10010,MANHATTAN,Chinese,18 WEST 25TH STREET,10,2,1,26.0,10.0,9,2.88888888889,1.11111111111,368,1085,1,"18 WEST 25TH STREET, NY",40.74320085,-73.9901033128
50002902,21.0,5.0,2014-06-02,2017-03-09,2016-07-20,10028,MANHATTAN,American,1291 LEXINGTON AVE,11,1,1,20.0,4.0,10,2.0,0.4,232,1011,0,"1291 LEXINGTON AVE, NY",40.7799255,-73.9550981
50002915,3.0,4.0,2014-11-18,2017-02-22,2015-12-03,10016,MANHATTAN,Greek,523 3RD AVENUE,3,1,2,2.0,2.0,2,1.0,1.0,447,827,0,"523 3RD AVENUE, NY",40.7462278,-73.977538
50002920,4.0,10.0,2013-12-12,2016-04-11,2015-05-13,11218,BROOKLYN,American,1002 CORTELYOU RD,5,1,2,3.0,8.0,4,0.75,2.0,334,851,0,"1002 CORTELYOU RD, NY",40.639137,-73.9685419462
