,crit_violations,non_crit_violations,earliest_inspection,latest_inspection,second_latest_inspection,zipcode,boro,cuisine,address,num_inspections,crit_violations_recent_inspect,non_crit_violations_recent_inspect,crit_violations_train,non_crit_violations_train,num_inspections_train,average_crit_v_train,average_non_crit_v_train,time_since_last_inspection,time_since_first_inspection,crit_v_2plus,address2,latitude,longitude
41617392,2.0,5.0,2014-10-29,2016-12-28,2015-11-16,10467,BRONX,Donuts,763 EAST GUNHILL ROAD,3,1,1,1.0,4.0,2,0.5,2.0,408,791,0,"763 EAST GUNHILL ROAD, NY",40.8766966,-73.8631296
41617855,10.0,8.0,2014-05-10,2017-03-09,2016-06-25,10463,BRONX,American,432 WEST  238 STREET,7,2,2,8.0,6.0,6,1.33333333333,1.0,257,1034,1,"432 WEST  238 STREET, NY",40.8870746,-73.9045393
41617871,14.0,2.0,2014-05-08,2016-09-14,2016-08-19,10036,MANHATTAN,American,156 WEST   44 STREET,7,2,1,12.0,1.0,6,2.0,0.166666666667,26,860,1,"156 WEST   44 STREET, NY",40.7568116,-73.9853716
41618219,9.0,6.0,2013-09-19,2016-09-14,2016-08-12,10022,MANHATTAN,Italian,420 EAST   59 STREET,6,2,2,7.0,4.0,5,1.4,0.8,33,1091,1,"420 EAST   59 STREET, NY",40.7589123,-73.960915
41618267,4.0,7.0,2015-02-24,2017-02-27,2016-08-03,10009,MANHATTAN,American,447 EAST   13 STREET,4,1,1,3.0,6.0,3,1.0,2.0,208,734,0,"447 EAST   13 STREET, NY",40.730016,-73.9811835
41618312,12.0,13.0,2013-03-19,2016-02-05,2015-09-03,10469,BRONX,Caribbean,1182 EAST GUNHILL ROAD,7,3,2,9.0,11.0,6,1.5,1.83333333333,155,1053,1,"1182 EAST GUNHILL ROAD, NY",,
41618394,27.0,11.0,2013-08-14,2016-07-20,2016-01-20,11103,QUEENS,American,3603 30 AVENUE,13,1,2,26.0,9.0,12,2.16666666667,0.75,182,1071,0,"3603 30 AVENUE, NY",40.7650842,-73.9170544
41618756,4.0,3.0,2014-01-27,2016-05-04,2015-06-16,10027,MANHATTAN,American,525 WEST  120 STREET,5,1,1,3.0,2.0,4,0.75,0.5,323,828,0,"525 WEST  120 STREET, NY",40.8101745,-73.9606229
41619346,9.0,6.0,2014-06-03,2016-11-17,2016-10-04,10463,BRONX,Chinese,300 WEST  231 STREET,7,1,1,8.0,5.0,6,1.33333333333,0.833333333333,44,898,0,"300 WEST  231 STREET, NY",40.8808539,-73.9088073
41619911,3.0,5.0,2014-02-21,2016-10-13,2016-04-15,10011,MANHATTAN,American,100 WEST   23 STREET,5,1,2,2.0,3.0,4,0.5,0.75,181,965,0,"100 WEST   23 STREET, NY",40.7428572,-73.9931725
41619938,8.0,7.0,2014-10-23,2016-11-29,2016-10-20,11105,QUEENS,Hamburgers,2301 31 STREET,7,1,1,7.0,6.0,6,1.16666666667,1.0,40,768,0,"2301 31 STREET, NY",40.7741608,-73.9128057
41620030,8.0,4.0,2014-05-29,2016-10-31,2015-10-07,11102,QUEENS,American,3202 30 AVENUE,5,1,1,7.0,3.0,4,1.75,0.75,390,886,0,"3202 30 AVENUE, NY",40.7661763,-73.9206756
41620117,9.0,3.0,2014-06-13,2017-02-10,2017-01-13,10036,MANHATTAN,Continental,1315 WEST   45 STREET,6,1,1,8.0,2.0,5,1.6,0.4,28,973,0,"1315 WEST   45 STREET, NY",40.7635771,-73.9988431
41620301,13.0,2.0,2014-03-19,2016-11-21,2016-10-04,10454,BRONX,Mexican,359 EAST  138 STREET,7,3,2,10.0,0.0,6,1.66666666667,0.0,48,978,1,"359 EAST  138 STREET, NY",40.8098189,-73.9238611
41620314,14.0,7.0,2014-06-11,2017-04-11,2017-04-07,10036,MANHATTAN,American,270 WEST   43 STREET,9,2,2,12.0,5.0,8,1.5,0.625,4,1035,1,"270 WEST   43 STREET, NY",40.7576248,-73.9891255
41620375,3.0,3.0,2014-03-12,2016-04-15,2015-03-25,10011,MANHATTAN,American,150 WEST   17 STREET,3,1,1,2.0,2.0,2,1.0,1.0,387,765,0,"150 WEST   17 STREET, NY",40.7400462,-73.9977906
41620893,7.0,5.0,2014-02-04,2016-08-19,2015-08-05,10454,BRONX,Pizza,496 EAST  138 STREET,5,2,2,5.0,3.0,4,1.25,0.75,380,927,1,"496 EAST  138 STREET, NY",40.8075286,-73.9198383
41620905,9.0,4.0,2014-02-24,2016-09-22,2015-09-15,10019,MANHATTAN,Italian,16 WEST   56 STREET,5,1,1,8.0,3.0,4,2.0,0.75,373,941,0,"16 WEST   56 STREET, NY",40.7625713,-73.9756545
