,crit_violations,non_crit_violations,earliest_inspection,latest_inspection,second_latest_inspection,zipcode,boro,cuisine,address,num_inspections,crit_violations_recent_inspect,non_crit_violations_recent_inspect,crit_violations_train,non_crit_violations_train,num_inspections_train,average_crit_v_train,average_non_crit_v_train,time_since_last_inspection,time_since_first_inspection,crit_v_2plus
30075445,8.0,4.0,2013-08-14,2016-02-18,2015-02-09,10462,BRONX,Bakery,1007 MORRIS PARK AVE,5,1,1,7.0,3.0,4,1.75,0.75,374,918,0
30112340,14.0,10.0,2014-06-05,2016-10-27,2016-10-03,11225,BROOKLYN,Hamburgers,469 FLATBUSH AVENUE,9,1,1,13.0,9.0,8,1.625,1.125,24,875,0
30191841,4.0,7.0,2013-07-22,2016-05-31,2015-09-21,10019,MANHATTAN,Irish,351 WEST   57 STREET,5,1,1,3.0,6.0,4,0.75,1.5,253,1044,0
40356018,1.0,7.0,2013-06-05,2016-05-16,2015-06-05,11224,BROOKLYN,American,2780 STILLWELL AVENUE,4,1,1,0.0,6.0,3,0.0,2.0,346,1076,0
40356151,13.0,5.0,2014-04-11,2016-05-14,2015-05-29,11369,QUEENS,American,8825 ASTORIA BOULEVARD,7,1,1,12.0,4.0,6,2.0,0.6666666666666666,351,764,0
40356483,9.0,15.0,2013-07-09,2016-04-20,2015-05-08,11234,BROOKLYN,Delicatessen,7114 AVENUE U,7,1,2,8.0,13.0,6,1.3333333333333333,2.1666666666666665,348,1016,0
40356731,4.0,5.0,2013-07-10,2016-05-19,2015-06-26,11226,BROOKLYN,"Ice Cream, Gelato, Yogurt, Ices",1839 NOSTRAND AVENUE,4,1,1,3.0,4.0,3,1.0,1.3333333333333333,328,1044,0
40357217,2.0,7.0,2013-06-19,2016-04-19,2015-05-06,10460,BRONX,American,2300 SOUTHERN BOULEVARD,4,1,1,1.0,6.0,3,0.3333333333333333,2.0,349,1035,0
40359705,15.0,8.0,2014-11-29,2017-01-23,2016-07-08,11224,BROOKLYN,Hotdogs,1310 SURF AVENUE,8,2,1,13.0,7.0,7,1.8571428571428572,1.0,199,786,1
40360045,17.0,10.0,2014-10-20,2017-03-13,2016-08-29,11223,BROOKLYN,Jewish/Kosher,705 KINGS HIGHWAY,8,3,2,14.0,8.0,7,2.0,1.1428571428571428,196,875,1
40360076,2.0,4.0,2015-01-22,2017-03-16,2016-02-09,11218,BROOKLYN,"Ice Cream, Gelato, Yogurt, Ices",203 CHURCH AVENUE,3,1,3,1.0,1.0,2,0.5,0.5,401,784,0
40361322,10.0,5.0,2014-10-07,2017-01-05,2015-11-16,11004,QUEENS,"Ice Cream, Gelato, Yogurt, Ices",26515 HILLSIDE AVENUE,6,2,1,8.0,4.0,5,1.6,0.8,416,821,1
40361606,4.0,9.0,2013-11-14,2016-05-05,2016-03-29,11215,BROOKLYN,American,284 PROSPECT PARK WEST,4,1,3,3.0,6.0,3,1.0,2.0,37,903,0
40361618,10.0,6.0,2014-08-16,2016-09-13,2016-02-11,11356,QUEENS,Delicatessen,12908 20 AVENUE,6,1,1,9.0,5.0,5,1.8,1.0,215,759,0
