,crit_violations,non_crit_violations,earliest_inspection,latest_inspection,second_latest_inspection,zipcode,boro,cuisine,address,num_inspections,crit_violations_recent_inspect,non_crit_violations_recent_inspect,crit_violations_train,non_crit_violations_train,num_inspections_train,average_crit_v_train,average_non_crit_v_train,time_since_last_inspection,time_since_first_inspection,crit_v_2plus,address2,latitude,longitude
30191841,4.0,7.0,2013-07-22,2016-05-31,2015-09-21,10019,MANHATTAN,Irish,351 WEST   57 STREET,5,1,1,3.0,6.0,4,0.75,1.5,253,1044,0,"351 WEST   57 STREET, NY",,
40361618,10.0,6.0,2014-08-16,2016-09-13,2016-02-11,11356,QUEENS,Delicatessen,12908 20 AVENUE,6,1,1,9.0,5.0,5,1.8,1.0,215,759,0,"12908 20 AVENUE, NY",,
40362432,10.0,8.0,2013-05-02,2016-04-07,2015-03-31,11368,QUEENS,Chinese,10305 37 AVENUE,7,1,1,9.0,7.0,6,1.5,1.16666666667,373,1071,0,"10305 37 AVENUE, NY",,
40362869,6.0,5.0,2014-05-13,2017-01-23,2015-12-10,11203,BROOKLYN,Caribbean,195 EAST   56 STREET,5,1,1,5.0,4.0,4,1.25,1.0,410,986,0,"195 EAST   56 STREET, NY",,
40363093,8.0,6.0,2014-04-24,2016-09-27,2016-04-11,10466,BRONX,"Ice Cream, Gelato, Yogurt, Ices",1006 EAST  233 STREET,5,1,2,7.0,4.0,4,1.75,1.0,169,887,0,"1006 EAST  233 STREET, NY",,
40363289,17.0,6.0,2013-12-30,2016-10-25,2016-09-30,10474,BRONX,Chinese,1236 238 SPOFFORD AVE,9,2,1,15.0,5.0,8,1.875,0.625,25,1030,1,"1236 238 SPOFFORD AVE, NY",,
40363945,15.0,14.0,2014-04-11,2017-03-02,2017-02-03,10023,MANHATTAN,Pizza,148 WEST   72 STREET,9,1,2,14.0,12.0,8,1.75,1.5,27,1056,0,"148 WEST   72 STREET, NY",,
40364179,19.0,16.0,2014-02-26,2016-12-07,2016-10-15,10025,MANHATTAN,Soul Food,364 WEST  110 STREET,11,2,3,17.0,13.0,10,1.7,1.3,53,1015,1,"364 WEST  110 STREET, NY",,
40364347,16.0,15.0,2014-04-07,2017-03-06,2016-08-01,10022,MANHATTAN,American,1 EAST   60 STREET,11,2,1,14.0,14.0,10,1.4,1.4,217,1064,1,"1 EAST   60 STREET, NY",,
40364362,12.0,14.0,2014-04-15,2017-01-28,2016-11-18,10019,MANHATTAN,American,21 WEST   52 STREET,7,2,2,10.0,12.0,6,1.66666666667,2.0,71,1019,1,"21 WEST   52 STREET, NY",,
40364389,10.0,9.0,2014-10-08,2016-10-11,2016-04-11,10003,MANHATTAN,American,45 EAST   18 STREET,6,1,1,9.0,8.0,5,1.8,1.6,183,734,0,"45 EAST   18 STREET, NY",,
40364531,11.0,12.0,2013-12-30,2016-11-25,2016-10-17,10019,MANHATTAN,American,215 WEST   57 STREET,9,1,1,10.0,11.0,8,1.25,1.375,39,1061,0,"215 WEST   57 STREET, NY",,
40364576,28.0,18.0,2014-02-12,2016-07-27,2015-12-28,10019,MANHATTAN,French,311 WEST   51 STREET,9,1,3,27.0,15.0,8,3.375,1.875,212,896,0,"311 WEST   51 STREET, NY",,
40364581,9.0,8.0,2014-02-12,2016-11-04,2016-06-22,11201,BROOKLYN,American,386 FLATBUSH AVENUE EXTENSION,8,1,1,8.0,7.0,7,1.14285714286,1.0,135,996,0,"386 FLATBUSH AVENUE EXTENSION, NY",40.6902136,-73.9818936
40364668,12.0,14.0,2014-02-12,2017-01-17,2016-09-08,10016,MANHATTAN,Italian,251 EAST   31 STREET,7,2,2,10.0,12.0,6,1.66666666667,2.0,131,1070,1,"251 EAST   31 STREET, NY",,
