latitude	longitude	true_positive	false_positive	false_negative
40.57952565	-73.9824264038	False	False	False
40.7925729	-73.9680365	False	True	False
40.5884710909	-73.9686659091	False	True	False
40.6620102	-73.927031012	False	False	False
40.7778997	-73.9806672	False	True	False
40.5564115	-74.1525005	False	False	True
40.6006278	-74.1427665	False	False	False
40.764873	-73.971905	True	False	False
40.8291639	-73.8143300929	False	False	True
40.711536	-73.8240838	True	False	False
40.763406	-73.986219	False	True	False
40.7431927	-73.9775784	True	False	False
40.588805	-73.974082	False	False	False
40.6000612	-74.1778871	False	True	False
40.8273059	-73.9252404	True	False	False
40.56337	-74.1388039	False	True	False
40.7582675	-73.9635122	False	False	False
40.60762345	-73.94288025	True	False	False
40.564021	-73.8955409	False	False	False
40.5996008421	-73.9418387368	False	False	True
40.7340467	-74.0027764	False	False	True
40.69849715	-73.9927279	False	False	False
40.7594505	-73.9690693	False	True	False
40.8401362	-73.9168424	True	False	False
40.7374599	-73.707734	True	False	False
40.7523476	-73.9872393	False	False	False
40.610391	-73.9233547	False	True	False
40.6153833878	-73.918464102	False	False	True
40.7563016	-73.9771121	False	False	True
40.5903159245	-73.9534112858	False	True	False
40.6202339	-74.0078177	False	True	False
40.7262443	-74.0020529	False	False	False
40.7348065	-73.8147704	True	False	False
40.7647958	-73.9701322	False	False	True
40.8863875	-73.9099079	True	False	False
40.73241025	-73.99857625	False	False	False
40.71517575	-74.0089340192	False	False	False
40.7761112	-73.9624637	False	False	False
40.7076862	-74.0076663	False	True	False
40.7528832	-73.9720906	True	False	False
40.71648225	-73.9511997929	False	True	False
42.7458637	-73.7254921	False	False	False
40.5595566	-74.1689513	False	False	False
40.7551334	-73.9708206	True	False	False
40.758261	-73.8419159	False	True	False
40.65276205	-73.919509394	True	False	False
42.7458637	-73.7254921	False	False	False
40.61099545	-73.9788648456	False	False	True
40.6094356	-73.9320773	False	False	True
42.7458637	-73.7254921	True	False	False
40.82758905	-73.8236383036	False	False	False
40.7624022	-73.9782725	False	True	False
40.7127154	-73.9957137514	False	False	True
40.7469315	-73.9805395	False	False	False
40.600409	-74.1449409	True	False	False
40.72860515	-73.9993187087	False	False	False
40.7728753	-73.9812519	False	True	False
40.5895550612	-73.9603441633	True	False	False
40.83746445	-73.7831212229	False	False	False
40.7002445	-73.8075512	False	False	False
40.7642336	-73.9665436	True	False	False
40.5907489184	-73.9494596939	True	False	False
40.7353624	-73.9977538	False	False	False
40.5842135	-73.9367041377	False	True	False
40.683319	-73.840374	False	False	True
42.7458637	-73.7254921	False	False	False
40.71043565	-73.89824645	True	False	False
40.8569208	-73.7905705818	True	False	False
40.5426469	-74.2079137	False	True	False
40.7979149	-73.9690848	True	False	False
40.8165797	-73.8969846	True	False	False
40.7321769	-73.9932049	False	True	False
40.723242	-73.7280407	False	True	False
40.762461	-73.5150429	False	False	True
40.67967845	-73.9181813545	False	True	False
40.78393775	-73.9773797267	True	False	False
40.7095458	-74.0126275	True	False	False
40.8977976	-73.8674924774	True	False	False
40.7935938	-73.9727055	False	True	False
40.777366	-73.9616537498	False	True	False
40.7626833	-73.9837907	False	False	True
40.6914648	-73.9978843951	False	False	False
40.769526	-73.9352269	False	False	False
40.7222714	-73.9412855	True	False	False
40.7251551	-73.9925779	False	True	False
40.6006278	-74.1427665	False	False	True
40.7644083	-73.9690396	False	False	True
40.7557877	-73.9651722	True	False	False
40.600409	-74.1449409	False	False	False
40.7281862	-73.9835873	False	True	False
40.7612817	-73.9817676	False	False	False
40.7056624	-74.0124035	False	False	False
40.5651664	-74.1268442897	True	False	False
40.7631575	-73.9847265	False	True	False
40.60730495	-74.1630363502	False	False	False
43.1086491	-79.0540834	False	True	False
40.7369523	-73.9867745	True	False	False
40.7359926	-73.8654988	False	False	False
40.7441587	-73.981631	False	True	False
40.5879547624	-73.9733614144	False	True	False
40.78489945	-73.9555402897	False	True	False
40.7493346	-73.9772263	False	True	False
40.840505	-73.8433039	False	False	False
40.62476725	-74.1485607014	False	False	True
40.574652	-74.1218529	True	False	False
40.5882665714	-73.9720258571	False	True	False
40.7533125	-73.9879785	False	False	True
40.825008	-73.8710707	False	True	False
40.7859812	-73.9767266	False	True	False
40.7935938	-73.9727055	False	True	False
40.5879476022	-73.9734287403	False	True	False
40.6354046	-73.9920599	False	True	False
41.578047	-74.1594759	False	False	False
40.754292	-73.97937	False	True	False
40.6509758	-73.9487392	False	False	False
40.600409	-74.1449409	False	False	False
40.7371461	-73.9916859	False	False	True
40.7730946	-73.9538277	False	True	False
40.5722235	-74.1126424	False	True	False
40.7503282	-73.9863619	False	True	False
40.7497376	-73.9774651	False	False	True
40.7605248	-73.9177498	False	False	False
42.8001082653	-73.9536025306	False	True	False
40.7539746	-73.9896177	True	False	False
40.7777551	-73.9789887	False	False	False
40.6036064	-73.9953806	False	False	False
40.8644034	-73.9193296	True	False	False
40.7382472	-74.0018941	True	False	False
40.7600118	-73.9890099	False	False	False
40.5737659	-74.1157619	False	False	False
40.7775434	-73.9503938	False	False	False
40.7693649	-73.9828696	True	False	False
40.7502688	-73.8630697	False	True	False
42.981001633	-78.7007884033	True	False	False
40.711536	-73.8240838	True	False	False
40.762461	-73.5150429	False	True	False
41.4933921	-74.0998648	True	False	False
40.7457391	-73.9846187	False	True	False
40.762107	-72.9395529	False	False	False
40.7599775	-73.982976	False	True	False
40.7604984	-73.9744311	False	False	False
41.578047	-74.1594759	False	False	False
40.7292132	-73.8999395	False	False	False
40.761786	-73.5178619	False	False	True
40.7374599	-73.707734	False	False	False
40.600409	-74.1449409	False	True	False
40.5910686	-73.9758352	False	True	False
40.627182	-74.013845437	False	True	False
40.711536	-73.8240838	False	False	False
40.6866428	-73.9907974459	True	False	False
40.6743686	-73.8014597	False	False	False
40.71276	-73.9022429	False	True	False
40.7605268	-73.9738326	False	True	False
40.7474551	-73.9813858	False	False	False
40.7605248	-73.9177498	False	True	False
40.828054	-73.9252904	False	False	False
40.7291016	-73.954020679	False	False	False
40.8587698	-73.884812	False	False	False
40.5897475588	-73.9570800294	True	False	False
40.749308	-73.9831118	False	True	False
40.7651006	-73.9783747	False	True	False
40.762461	-73.5150429	False	False	True
40.5638097	-74.1163707	False	False	False
40.7605248	-73.9177498	False	False	False
40.7700486	-73.8348861	False	False	False
40.7145331	-73.8429824	False	False	False
41.1298089231	-72.3580297307	True	False	False
40.6100471	-73.9200497	False	False	False
40.753547	-73.9987458	False	False	False
40.5903353	-73.9732523	True	False	False
40.763866	-73.9558096765	False	False	False
40.7145832	-73.8322174615	False	True	False
40.69882	-73.9579589	False	True	False
40.6074713	-73.9436931	False	False	True
40.870162	-73.8909814	False	False	False
40.8184941	-73.1038376	False	False	False
40.761786	-73.5178619	False	False	False
40.8866503	-73.9072466	False	True	False
40.723159	-73.9947426	False	True	False
40.586835	-73.9295825	True	False	False
40.7145331	-73.8429824	False	False	False
40.7323594	-74.0052998	False	True	False
40.756938	-73.96814	True	False	False
40.7321153	-73.7444734416	False	True	False
40.7251135	-74.0033344	False	False	False
40.7367313	-73.9979569	False	False	False
40.6956771	-73.7459203	False	True	False
40.8542688	-73.9334614	False	True	False
40.78436835	-73.9777824709	True	False	False
40.711536	-73.8240838	False	False	False
40.8014739	-73.964626756	False	True	False
40.7571517	-73.9908163	False	False	True
40.6178633	-73.9602129	True	False	False
40.5893981837	-73.9602574898	False	True	False
40.7378714	-74.0017303	True	False	False
40.5887044892	-73.9665847594	False	True	False
41.0969440526	-73.7911745789	False	False	False
40.8532747	-73.827472094	False	True	False
40.58889	-74.08988	False	False	False
40.5880064751	-73.9728751713	False	True	False
40.762461	-73.5150429	False	True	False
40.7596388	-73.9773216	False	False	True
40.7032972	-74.0113258176	False	False	False
40.7540684	-73.9971296	False	False	False
40.7002445	-73.8075512	False	False	False
40.6429479	-73.7793732749	False	False	False
40.5892074362	-73.9619769799	False	True	False
40.5901839084	-73.9530941917	False	False	False
40.5880754	-73.9722455	False	True	False
40.7015112	-73.9233356	False	False	True
40.8879065	-73.8601974	False	False	False
40.67565105	-73.8945361851	False	False	False
40.7165457	-73.9990501	False	False	False
40.62465145	-74.1433477407	False	True	False
40.668726	-73.8214429	False	False	False
40.7586082	-73.9877404151	False	False	False
40.76339815	-73.9833549451	False	True	False
40.7584902	-73.9873682	False	False	False
40.7623955	-73.9851266	False	False	True
40.755506	-73.9882992	False	False	False
40.7586143	-73.986204517	False	False	False
40.7599428	-73.9869169	False	False	False
42.663634	-73.6391139	False	False	False
40.5887459266	-73.9661897528	False	False	True
40.7305079	-73.9899001	False	True	False
40.742097	-73.983681	False	False	False
40.8059662	-73.9657228	False	False	False
40.744594	-73.998305	False	True	False
40.70071765	-73.9434873648	True	False	False
40.7243868	-73.9828783	False	True	False
40.71504555	-73.9446916028	False	True	False
40.7546861	-73.9791731	True	False	False
40.5899267347	-73.9554361633	True	False	False
40.7836535	-73.9777283	False	False	False
40.5890870833	-73.964599375	False	False	False
42.7936923	-73.9467471	True	False	False
40.7569538	-73.9807204	True	False	False
40.574652	-74.1218529	False	False	False
40.7824664	-73.9196721	False	False	False
40.749439	-73.884016	False	False	False
40.6068006	-74.002844	False	False	False
40.7630705	-73.9793577	False	False	False
42.7458637	-73.7254921	False	True	False
40.6006278	-74.1427665	True	False	False
40.7792049	-73.9603638	False	False	False
40.5879547624	-73.9733614144	False	True	False
40.6672598	-73.842	False	False	False
41.9411743572	-73.9874296531	False	False	False
40.7630894	-73.9846554	False	False	False
40.7583122	-73.8923707	False	False	False
40.5879432265	-73.973469884	False	False	False
40.8448625	-73.8903063	False	True	False
40.7169673	-74.0083613967	False	True	False
40.8858048163	-73.8233242041	True	False	False
40.7935938	-73.9727055	False	False	False
40.772354	-73.9315019	False	False	False
40.6349831	-73.9626206	False	True	False
40.73135295	-74.0019392	False	True	False
40.6141835	-73.9738151	False	False	False
40.76367	-73.9831367	False	True	False
40.6672598	-73.842	False	False	False
40.8239617	-73.9493606	False	True	False
40.63175995	-73.9534811161	False	True	False
40.739047	-73.988895	False	True	False
40.7109888	-73.8997102	False	False	False
40.71276	-73.9022429	False	True	False
40.7145981	-73.9977854	True	False	False
40.7935938	-73.9727055	False	False	False
40.8686676	-73.9018511	False	True	False
40.7857905	-73.836019	True	False	False
40.592486	-73.8024327	False	False	False
40.5864054	-73.9520515	False	True	False
40.8304757	-73.8507009	False	True	False
40.5889329474	-73.9644895263	False	True	False
40.759194	-73.9898	True	False	False
40.600409	-74.1449409	False	False	False
42.8012145	-73.9525797	False	False	False
40.5886889091	-73.9682010909	True	False	False
40.5886889091	-73.9682010909	True	False	False
40.7950362	-73.9699297	True	False	False
40.7588426	-73.987196	False	False	False
40.7612624	-73.9850343	False	False	False
40.7660956	-73.9839938	False	True	False
40.5787862	-73.9838024779	False	False	False
40.6299468	-74.1140326227	True	False	False
42.7458637	-73.7254921	True	False	False
40.5879221436	-73.9736681215	False	True	False
40.586712	-73.9853309	False	False	False
40.586712	-73.9853309	False	False	False
40.7480827	-73.976798	False	True	False
40.7002445	-73.8075512	False	False	False
40.56337	-74.1388039	True	False	False
40.5866123298	-73.9855022128	False	True	False
40.7226578	-73.9981643	False	False	False
43.3140828649	-73.6308894054	False	False	False
40.7305467	-74.0020628	False	True	False
40.6251003333	-73.7326196	True	False	False
40.7692128	-73.9629324	False	False	False
40.6558416	-73.9600796	False	True	False
