crit_violations	latitude	longitude
8	40.84853745	-73.8561234195
14	40.66293035	-73.9617256984
4	40.7678208	-73.9849813
1	40.57952565	-73.9824264038
13	40.772354	-73.9315019
9	40.619892	-73.906850151
4	40.6408257	-73.9483459
2	40.85066	-73.882546
15	40.57530105	-73.9814686031
17	40.60649405	-73.9654257051
2	42.992504	-73.8504245
10	40.7374599	-73.707734
4	40.65803965	-73.9828794274
10	40.7815302	-73.839326
12	40.75904	-73.5713586667
3	41.4933921	-74.0998648
10	40.7867051	-73.9760763443
12	40.7925729	-73.9680365
10	40.7257247	-73.997056
10	40.75356	-73.8642349
25	40.70617305	-74.0085160962
6	40.759622	-73.9681015
8	40.8903794	-73.8485737
5	40.69224025	-73.991411
17	40.8137618	-73.8893654
6	40.589235	-73.963224
8	40.6948347	-73.9025374
4	40.7519148	-73.9755299
11	40.6000612	-74.1778871
18	40.71276	-73.9022429
16	42.7999727143	-73.9541840816
3	40.5884710909	-73.9686659091
2	40.7573564	-73.9753768591
6	40.5987763	-74.0796766244
5	40.6620102	-73.927031012
15	40.7778997	-73.9806672
7	42.4861706667	-76.4750773333
19	40.8014307	-73.9608412
10	40.6252876	-73.9615587
10	40.5734594	-74.1178654
2	40.863511	-73.8940381
14	40.5564115	-74.1525005
6	40.6006278	-74.1427665
10	40.7098661	-73.9625563
16	40.764873	-73.971905
12	40.7604522	-73.9774394
7	40.8291639	-73.8143300929
3	40.5894104286	-73.9601461429
10	40.737609	-73.9891621
13	40.7348424	-74.0030608
8	40.7160736	-74.0011698
10	40.7067229	-73.9056607
16	40.76636125	-73.979010539
12	40.7250437	-73.9814659
14	40.711536	-73.8240838
11	40.7660106	-73.9805359
4	40.7654236	-73.9655295
28	40.763406	-73.986219
9	40.6902136	-73.9818936
12	40.7431927	-73.9775784
6	40.5877745	-73.9545812
6	40.7706742	-73.9534059
16	40.5878974807	-73.9739000221
10	40.6797667	-73.8445909
8	40.768292	-73.9795327
13	40.7618668	-73.9649001
2	41.1319873879	-72.355435226
4	40.7605248	-73.9177498
9	43.292161	-73.6288599
2	40.7356974	-74.0061619
5	40.59316345	-74.0707188791
4	40.6096122	-74.074462
4	40.588805	-73.974082
7	40.728815	-73.9896635
