Serial#,County,Type,Class,Premises Name,Address,Address2,City,State,Zip,
1027625,NEW,OP,252, ,1571 2ND AVENUE,,NEW YORK,NY,10028,
1167897,NEW,ST,1, ,"92 2ND AVENUE, NORTH STORE",,NEW YORK,NY,10003,
1285992,NEW,ST,1, ,74 78 8TH AVE ,,NEW YORK ,NY,10011,
1258240,NEW,ST,1, ,202 8TH AVE,,NEW YORK,NY,10011,
1168127,NEW,OP,252, JUJAMCYN THTRS LLC &amp; SWEET HOSPITALITY GRP AS MGR,245 W 52ND ST,,NEW YORK,NY,10019,
1251496,NEW,A,122, K &amp; O DELI MEAT GROCERY INC,2288 2ND AVENUE ,,NEW YORK ,NY,10035,
1188821,NEW,TW,344, NRK CAFE INC,422 HUDSON ST,,NEW YORK,NY,10014,
1285099,NEW,HL,242,+42 W 35TH PROPERTY LLC &amp; SSH NY GREGORY LLC,42 W 35TH ST,,NEW YORK,NY,10001,
1176726,NEW,OP,901,-,355 W 14TH STREET,,NEW YORK,NY,10014,
1282282,NEW,EB,141,002 MERCURY TACOS LLC,131 7TH AVE S,,NEW YORK,NY,10014,
1285200,NEW,EB,141,003 VENUS TACOS LLC,705 9TH AVE,,NEW YORK,NY,10019,
1025406,NEW,OP,252,1 &amp; 3 ON CHURCH CORP,277 CHURCH STREET,,NEW YORK,NY,10013,
1025405,NEW,OP,903,1 &amp; 3 ON CHURCH CORP,277 CHURCH STREET,,NEW YORK,NY,10013,
1184437,NEW,L,222,1 BLEECKER ST WINES &amp; LIQUORS INC,1 BLEECKER ST,,NEW YORK,NY,10012,
1025561,NEW,OP,252,"1 CORP,J &amp; K MEXICAN REST ",76 78 CARMINE STREET,,NEW YORK,NY,10014,
1025911,NEW,OP,252,1 EAST 36TH STREET FOOD CORP,1 E 36TH STREET,,NEW YORK,NY,10016,
1020803,NEW,AX,122,1 EAST ACE DELI CORP,1 E 28TH STREET,,NEW YORK,NY,10016,
1281326,NEW,OP,252,1 LUDLOW LLC,1 LUDLOW ST ,,NEW YORK ,NY,10002,
1019935,NEW,A,122,1 PENN PLAZA FOOD INC,102 JOHN STREET,,NEW YORK,NY,10038,
1237730,NEW,ST,3,1 PERRY ST RESTAURANT INC,57 GREENWICH AVENUE,,NEW YORK,NY,10014,
1236482,NEW,ST,2,1 PERRY ST RESTAURANT INC,57 GREENWICH AVENUE,,NEW YORK,NY,10014,
1229967,NEW,ST,1,1 PERRY ST RESTAURANT INC,57 GREENWICH AVENUE,,NEW YORK,NY,10014,
1229966,NEW,OP,252,1 PERRY ST RESTAURANT INC,57 GREENWICH AVENUE,,NEW YORK,NY,10014,
1248842,NEW,OP,252,1 REPUBLIK LOUNGE INC,613 615 2ND AVENUE,,NEW YORK,NY,10016,
1183741,NEW,AX,122,1 UP 7 FRUIT CORP,348 MALCOLM X BLVD,,NEW YORK,NY,10027,
1237620,NEW,ST,2,1 WEST 3RD ST RESTAURANT ASSOCIATES LLC,1 W 3RD STREET,,NEW YORK,NY,10012,
1232988,NEW,OP,252,1 WEST 3RD ST RESTAURANT ASSOCIATES LLC,1 W 3RD STREET,,NEW YORK,NY,10012,
1232989,NEW,ST,1,1 WEST 3RD ST RESTAURANT ASSOCIATES LLC,1 W 3RD STREET,,NEW YORK,NY,10012,
1239140,NEW,ST,3,1 WEST 3RD ST RESTAURANT ASSOCIATES LLC,1 W 3RD STREET,,NEW YORK,NY,10012,
1106645,NEW,ST,1,1 WEST DELI INC,1 WEST 125TH ST,,NEW YORK,NY,10027,
1106644,NEW,AX,122,1 WEST DELI INC,1 WEST 125TH ST,,NEW YORK,NY,10027,
1024416,NEW,OP,252,1/5TH L P GIRLY WORLDWIDE LTD,1 5TH AVENUE,,NEW YORK,NY,10003,
1301496,NEW,ST,1,10 10 SOUTH WILLIAM INC,10 26 S WILLIAM ST ,,NEW YORK,NY,10004,
1301495,NEW,RW,341,10 10 SOUTH WILLIAM INC,10 26 S WILLIAM ST ,,NEW YORK,NY,10004,
1244300,NEW,ST,1,10 6 SOUTH WILLIAM INC,"10 26 S WILLIAM ST, STORE 2",,NEW YORK,NY,10004,
1244299,NEW,RW,341,10 6 SOUTH WILLIAM INC,10 26 S WILLIAM ST STORE 2,,NEW YORK,NY,10004,
1226235,NEW,OP,252,10 DOWNING LLC,10 DOWNING STREET A/K/A 263 6T,,NEW YORK ,NY,10014,
1191957,NEW,RW,341,10 DOWNING LLC,10 DOWNING ST AKA 263 6TH AVE,,NEW YORK,NY,10014,
1296338,NEW,RW,341,10 DOWNING RESTAURANT LLC,259 6TH AVE,,NEW YORK,NY,10014,
1277807,NEW,OP,252,10 DOWNING RESTAURANT LLC,10 DOWNING ST,,NEW YORK,NY,10014,
1021372,NEW,AX,122,10 OLD BROADWAY DELI GROC CORP,10 OLD BROADWAY,,NEW YORK,NY,10027,
1189770,NEW,RW,341,10 SO WILLIAM ENTERPRISES INC,10 26 S WILLIAM ST STORE 2,,NEW YORK,NY,10004,
1028336,NEW,RL,241,10 SO WILLIAM ENTERPRISES INC,10 SO WILLIAM STREET,,NEW YORK,NY,10005,
1134583,NEW,RW,341,10 SOUTH WILLIAM ENTERPRISE IN,10 SO WILLIAMS ST,,NEW YORK,NY,10004,
1248913,NEW,OP,252,10 WAVERLY PLACE REST LLC,10 WAVERLY PLACE,,NEW YORK,NY,10003,
1192291,NEW,ST,8,10 WEST BADA CORP,10 W 32ND ST,,NEW YORK,NY,10001,
1194568,NEW,ST,9,10 WEST BADA CORP,10 W 32ND ST,,NEW YORK,NY,10001,
1190915,NEW,ST,7,10 WEST BADA CORP,10 W 32ND ST,,NEW YORK,NY,10001,
1189509,NEW,ST,6,10 WEST BADA CORP,10 W 32ND ST,,NEW YORK,NY,10001,
1185805,NEW,ST,3,10 WEST BADA CORP,10 W 32ND ST,,NEW YORK,NY,10001,
1184796,NEW,ST,2,10 WEST BADA CORP,10 W 32ND ST,,NEW YORK,NY,10001,
1187368,NEW,ST,4,10 WEST BADA CORP,10 W 32ND ST,,NEW YORK,NY,10001,
1188543,NEW,ST,5,10 WEST BADA CORP,10 W 32ND ST,,NEW YORK,NY,10001,
1198943,NEW,ST,9,10 WEST BADA CORP,10 W 32ND ST,,NEW YORK,NY,10001,
1200409,NEW,ST,9,10 WEST BADA CORP,10 W 32ND ST,,NEW YORK,NY,10001,
1197337,NEW,ST,9,10 WEST BADA CORP,10 W 32ND ST,,NEW YORK,NY,10001,
1196241,NEW,ST,9,10 WEST BADA CORP,10 W 32ND ST,,NEW YORK,NY,10001,
1202089,NEW,ST,9,10 WEST BADA CORP,10 W 32ND ST,,NEW YORK,NY,10001,
1202081,NEW,ST,9,10 WEST BADA CORP,10 W 32ND ST,,NEW YORK,NY,10001,
1181444,NEW,OP,252,10 WEST BADA CORP,10 W 32ND ST,,NEW YORK,NY,10001,
1181445,NEW,ST,1,10 WEST BADA CORP,10 W 32ND ST,,NEW YORK,NY,10001,
1021836,NEW,AX,122,100 AUDUBON AVE GROCERY CORP,100 AUDUBON AVENUE,,NEW YORK,NY,10032,
1123610,NEW,OP,252,100 AVENUE A CORP,100 AVENUE A,,NEW YORK,NY,10009,
1295826,NEW,RW,341,100 BROAD STREET LLC,100 BROAD ST ,,NEW YORK,NY,10004,
1019997,NEW,A,122,100 DYCKMAN STREET GROCERY INC,100 DYCKMAN STREET,,NEW YORK,NY,10040,
1019852,NEW,A,122,100 FAMILY GROCERY CORP,100 POST AVE,,NEW YORK,NY,10034,
1271909,NEW,RW,341,100 FUEGO SPORT BILLIARDS INC,3837 BROADWAY,,NEW YORK,NY,10032,
1028112,NEW,OP,252,100 GOLD STREET REST CAFE INC,15 GOLD STREET,,NEW YORK,NY,10038,
1171341,NEW,OP,252,100 LAFAYETTE STREET LTD,100 LAFAYETTE ST,,NEW YORK,NY,10013,
1171343,NEW,OP,902,100 LAFAYETTE STREET LTD,100 LAFAYETTE ST,,NEW YORK,NY,10013,
1171342,NEW,OP,901,100 LAFAYETTE STREET LTD,100 LAFAYETTE ST,,NEW YORK,NY,10013,
1198531,NEW,ST,3,100 LENOX PLAZA GROCERY CORP,100 LENOX AVENUE,,NEW YORK,NY,10026,
1196743,NEW,ST,2,100 LENOX PLAZA GROCERY CORP,100 LENOX AVENUE,,NEW YORK,NY,10026,
1191987,NEW,AX,122,100 LENOX PLAZA GROCERY CORP,100 LENOX AVENUE,,NEW YORK,NY,10026,
1191988,NEW,ST,1,100 LENOX PLAZA GROCERY CORP,100 LENOX AVENUE,,NEW YORK,NY,10026,
1029690,NEW,RW,341,100 PARK K &amp; C INC,100 PARK AVE,,NEW YORK,NY,10018,
1029689,NEW,RW,341,100 PARK K &amp; C INC,100 PARK AVE,,NEW YORK,NY,10018,
1019692,NEW,A,122,100 POST AVE FOOD CENTER INC,100 POST AVENUE,,NEW YORK,NY,10031,
1284227,NEW,OP,252,100 SARDINES MANAGEMENT LLC,835 6TH AVE,,NEW YORK,NY,10001,
1259338,NEW,L,222,100 ST WINE &amp; LIQUOR INC,2648 BROADWAY,,NEW YORK,NY,10025,
1272986,NEW,TW,344,100 STANTON LLC,100 STANTON ST ,,NEW YORK,NY,10002,
1027396,NEW,OP,252,100 W 79TH ST INC N Y C CORP,392 COLUMBUS AVE,,NEW YORK,NY,10024,
1245984,NEW,OP,252,100 WEST 82ND STREET LLC,100 W 82ND STREET,,NEW YORK,NY,10024,
1158705,NEW,OP,252,1000 MADISON LLC,1000 MADISON AVE,,NEW YORK,NY,10021,
1105984,NEW,OP,252,1004 LAS DELICIAS REST CORP,1004 ST NICHOLAS AVENUE,,NEW YORK,NY,10032,
1105985,NEW,ST,1,1004 LAS DELICIAS REST CORP,1004 ST NICHOLAS AVENUE,,NEW YORK,NY,10032,
1107293,NEW,OP,252,1004 SECOND AVENUE LLC,1004 SECOND AVENUE,,NEW YORK,NY,10022,
1030002,NEW,RW,341,1004 SECOND AVENUE LLC,1004 2ND AVENUE,,NEW YORK,NY,10022,
1137887,NEW,ST,1,1004 VEN Y VEN CORP,1004 ST NICHOLAS AVE,,NEW YORK,NY,10032,
1137886,NEW,OP,252,1004 VEN Y VEN CORP,1004 ST NICHOLAS AVE,,NEW YORK,NY,10032,
1027742,NEW,OP,252,101 09 EAST 119TH ST CORP,101 09 E 119TH STREET,,NEW YORK,NY,10035,
1251861,NEW,OP,252,101 3RD AVE CORP,1009 2ND AVE,,NEW YORK,NY,10022,
1251862,NEW,OP,901,101 3RD AVE CORP,1009 2ND AVE,,NEW YORK,NY,10022,
1021837,NEW,AX,122,101 AUDOBON FOOD CORP,101 AUDOBON AVENUE,,NEW YORK,NY,10032,
1019748,NEW,A,122,101 AUDOBON GROCERY &amp; MEAT INC,101 AUDOBON AVENUE,,NEW YORK,NY,10032,
1019406,NEW,A,122,101 BROADWAY GROCERY INC,2659A BROADWAY,,NEW YORK,NY,10025,
1161175,NEW,A,122,101 EDGECOMBE DELI INC,101 EDGECOMBE AVENUE,,NEW YORK,NY,10030,
1161176,NEW,ST,1,101 EDGECOMBE DELI INC,101 EDGECOMBE AVENUE,,NEW YORK,NY,10030,
1109138,NEW,OP,252,101 GREENE STREET CAFE INC ,101 GREENE STREET,,NEW YORK,NY,10012,
1134268,NEW,AX,122,101 LA ESPERANZA SUPERMARKET CORP,101 AUDOBON AVE,,NEW YORK,NY,10032,
1019427,NEW,A,122,101 LENOX FOOD CORP,101 LENOX AVENUE,,NEW YORK,NY,10026,
1274326,NEW,RW,341,101 MAIDEN LANE TC LLC,201 PEARL ST,,NEW YORK,NY,10038,
1290295,NEW,EB,141,101 MAIDEN TACOS LLC,201 PEARL ST,,NEW YORK,NY,10038,
1022303,NEW,AX,122,101 MORONTA FOOD CORP,101 DYCKMAN STREET,,NEW YORK,NY,10040,
1022302,NEW,AX,122,101 MORONTA FOOD CORP,101 DYCKMAN STREET,,NEW YORK,NY,10040,
1028263,NEW,OP,252,101 PARK RESTAURANT CORP &amp; GREAT FOOD MGMT LLC,101 PARK AVE LOBBY FLOOR,,NEW YORK,NY,10178,
1298884,NEW,AX,122,101 SMOKE SHOP CORP,2660 BROADWAY,,NEW YORK,NY,10025,
1112460,NEW,EB,141,101 STACY RESTAURANT INC,101 SHERMAN AVENUE,,NEW YORK,NY,10034,
1112461,NEW,ST,1,101 STACY RESTAURANT INC,101 SHERMAN AVENUE,,NEW YORK,NY,10034,
1246576,NEW,ST,7,101 STAR GROCERY CORP,2660 BROADWAY STORE #2,,NEW YORK,NY,10025,
1245205,NEW,ST,6,101 STAR GROCERY CORP,2660 BROADWAY STORE #2,,NEW YORK,NY,10025,
1241341,NEW,ST,3,101 STAR GROCERY CORP,2660 BROADWAY STORE #2,,NEW YORK,NY,10025,
1243471,NEW,ST,5,101 STAR GROCERY CORP,2660 BROADWAY STORE #2,,NEW YORK,NY,10025,
1239773,NEW,ST,2,101 STAR GROCERY CORP,2660 BROADWAY STORE #2,,NEW YORK,NY,10025,
1242265,NEW,ST,4,101 STAR GROCERY CORP,2660 BROADWAY STORE #2,,NEW YORK,NY,10025,
1235046,NEW,AX,122,101 STAR GROCERY CORP,2660 BROADWAY STORE #2,,NEW YORK,NY,10025,
1235047,NEW,ST,1,101 STAR GROCERY CORP,2660 BROADWAY STORE #2,,NEW YORK,NY,10025,
1023732,NEW,L,222,101 W 132ND LIQUOR STORE INC,101 W 132NS STREET,,NEW YORK,NY,10027,
