,crit_violations,non_crit_violations,earliest_inspection,latest_inspection,second_latest_inspection,zipcode,boro,cuisine,address,num_inspections,crit_violations_recent_inspect,non_crit_violations_recent_inspect,crit_violations_train,non_crit_violations_train,num_inspections_train,average_crit_v_train,average_non_crit_v_train,time_since_last_inspection,time_since_first_inspection,crit_v_2plus,3-day temp,3-day humidity,crit_vs_sec_last_insp,prior_2p_crit_insps,rating,rating_null,rating_null_zip,food_poisoning_complaints,food_establishment_complaints,electric_complaints,safety_complaints,rodent_complaints,dirty_conditions_complaints,general_complaints,missed_collection_complaints,police_matter_complaints,liq_license,side_license,target,prediction,true_positive,true_negative,false_positive,false_negative,latitude,longitude
40356018,1.0,7.0,2013-06-05,2016-05-16,2015-06-05,11224,BROOKLYN,American,2780 STILLWELL AVENUE,4,1,1,0.0,6.0,3,0.0,2.0,346,1076,0,58.33333333,56.66666667,0,0,4.8,0,0,0,9,24,4,13.0,8.0,9.0,3.0,3,True,False,0,0,False,True,False,False,40.57952565,-73.9824264038
40362264,12.0,9.0,2013-04-08,2016-04-04,2015-03-19,10025,MANHATTAN,American,730 COLUMBUS AVENUE,6,1,1,11.0,8.0,5,2.2,1.6,382,1092,0,44.66666667,60.33333333,2,4,4.8,0,0,9,12,11,6,98.0,50.0,29.0,11.0,5,True,False,0,1,False,False,True,False,40.7925729,-73.9680365
40363644,3.0,13.0,2014-08-05,2017-03-30,2017-03-06,10016,MANHATTAN,Pizza,464 3 AVENUE,6,1,2,2.0,11.0,5,0.4,2.2,24,968,0,46.66666667,66.66666667,1,1,3.2,0,0,0,2,14,8,7.0,38.0,6.0,17.0,3,False,False,0,1,False,False,True,False,40.5884710909,-73.9686659091
40363920,5.0,6.0,2014-04-23,2016-10-19,2015-10-10,11212,BROOKLYN,Chinese,976 RUTLAND ROAD,5,1,1,4.0,5.0,4,1.0,1.25,375,910,0,74.0,72.0,1,1,3.9,0,0,0,0,61,19,29.0,22.0,100.0,11.0,5,True,False,0,0,False,True,False,False,40.66201020000001,-73.927031012
40363945,15.0,14.0,2014-04-11,2017-03-02,2017-02-03,10023,MANHATTAN,Pizza,148 WEST   72 STREET,9,1,2,14.0,12.0,8,1.75,1.5,27,1056,0,55.0,63.33333333,3,5,2.9,0,0,17,54,28,3,88.0,73.0,31.0,7.0,19,True,True,0,1,False,False,True,False,40.777899700000006,-73.9806672
40364299,14.0,18.0,2014-02-25,2016-05-19,2015-06-10,10308,STATEN ISLAND,Delicatessen,203 GIFFORDS LANE,8,2,4,12.0,14.0,7,1.71428571429,2.0,344,814,1,60.33333333,58.33333333,0,5,4.4,0,0,1,0,3,0,3.0,5.0,0.0,13.0,5,True,False,1,0,False,False,False,True,40.5564115,-74.1525005
40364305,6.0,4.0,2013-05-16,2016-03-10,2015-02-20,11209,BROOKLYN,Italian,10004 4 AVENUE,5,1,2,5.0,2.0,4,1.25,0.5,384,1029,0,60.0,58.0,1,2,4.3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,False,0,0,False,True,False,False,40.6006278,-74.14276650000002
40364347,16.0,15.0,2014-04-07,2017-03-06,2016-08-01,10022,MANHATTAN,American,1 EAST   60 STREET,11,2,1,14.0,14.0,10,1.4,1.4,217,1064,1,28.66666667,32.66666667,1,5,4.3,0,0,9,9,2,0,14.0,7.0,14.0,1.0,12,True,True,1,1,True,False,False,False,40.764873,-73.971905
40364363,7.0,4.0,2013-07-13,2016-06-25,2015-06-06,10465,BRONX,American,658 CLARENCE AVE,4,2,1,5.0,3.0,3,1.66666666667,1.0,385,1078,1,75.33333333,59.0,1,1,3.8,0,0,0,0,1,0,0.0,3.0,1.0,4.0,4,True,False,1,0,False,False,False,True,40.8291639,-73.8143300929
40364529,14.0,11.0,2015-03-02,2017-04-06,2017-03-20,11374,QUEENS,Jewish/Kosher,9640 QUEENS BOULEVARD,7,2,4,12.0,7.0,6,2.0,1.16666666667,17,766,1,51.0,76.0,2,3,4.2,0,0,0,5,1,1,4.0,9.0,7.0,1.0,0,False,False,1,1,True,False,False,False,40.711536,-73.8240838
40364576,28.0,18.0,2014-02-12,2016-07-27,2015-12-28,10019,MANHATTAN,French,311 WEST   51 STREET,9,1,3,27.0,15.0,8,3.375,1.875,212,896,0,82.33333333,64.33333333,5,7,4.2,0,0,27,38,172,8,39.0,45.0,154.0,22.0,15,True,False,0,1,False,False,True,False,40.763406,-73.98621899999998
40364668,12.0,14.0,2014-02-12,2017-01-17,2016-09-08,10016,MANHATTAN,Italian,251 EAST   31 STREET,7,2,2,10.0,12.0,6,1.66666666667,2.0,131,1070,1,37.0,65.66666667,3,3,4.4,0,0,13,31,3,11,45.0,32.0,31.0,9.0,11,True,True,1,1,True,False,False,False,40.7431927,-73.97757840000001
40365043,4.0,6.0,2014-05-03,2017-03-01,2016-01-14,11223,BROOKLYN,American,1 BOUCK COURT,5,1,1,3.0,5.0,4,0.75,1.25,412,1033,0,52.0,67.66666667,1,1,3.2,0,0,1,7,6,8,3.0,23.0,4.0,9.0,2,False,False,0,0,False,True,False,False,40.588805,-73.974082
40365454,22.0,12.0,2013-12-19,2016-10-13,2016-09-12,10314,STATEN ISLAND,Pizza/Italian,1758 VICTORY BOULEVARD,10,1,1,21.0,11.0,9,2.33333333333,1.22222222222,31,1029,0,57.0,69.0,3,7,4.3,0,0,0,1,0,0,0.0,3.0,0.0,0.0,0,False,False,0,1,False,False,True,False,40.6000612,-74.17788709999998
40365499,13.0,8.0,2014-04-15,2016-11-23,2016-10-20,10451,BRONX,American,72 EAST  161 STREET,6,2,1,11.0,7.0,5,2.2,1.4,34,953,1,41.66666667,48.0,4,3,4.2,0,0,1,11,31,12,32.0,34.0,49.0,5.0,11,True,False,1,1,True,False,False,False,40.8273059,-73.9252404
40365841,14.0,7.0,2014-07-17,2017-03-10,2016-08-25,11368,QUEENS,Italian,10701 CORONA AVENUE,8,1,3,13.0,4.0,7,1.85714285714,0.5714285714289999,197,967,0,50.33333333,46.0,1,5,4.4,0,0,0,0,0,0,7.0,3.0,0.0,29.0,1,False,False,0,1,False,False,True,False,40.56337,-74.13880390000001
40365871,3.0,5.0,2014-08-11,2016-08-18,2015-07-27,10022,MANHATTAN,American,358 EAST   57 STREET,3,1,1,2.0,4.0,2,1.0,2.0,388,738,0,81.0,71.0,1,0,4.2,0,0,5,14,23,3,51.0,28.0,28.0,6.0,4,True,False,0,0,False,True,False,False,40.7582675,-73.9635122
40366154,16.0,13.0,2013-07-20,2016-05-05,2015-12-08,11229,BROOKLYN,Italian,2929 AVENUE R,8,2,1,14.0,12.0,7,2.0,1.71428571429,149,1020,1,52.66666667,86.0,0,3,4.6,0,0,0,2,0,0,9.0,10.0,0.0,16.0,1,True,False,1,1,True,False,False,False,40.60762345,-73.94288025
40366356,15.0,11.0,2013-03-09,2016-02-19,2015-05-30,11697,QUEENS,American,20224 ROCKAWAY POINT BOULEVARD,9,1,2,14.0,9.0,8,1.75,1.125,265,1077,0,34.66666667,52.33333333,1,4,4.6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,False,0,0,False,True,False,False,40.564021,-73.89554090000001
