,search_info,google_name,rating
30075445,"morris park bake shop 1007 MORRIS PARK AVE, NY",morris park bake shop,4.8
30112340,"wendy's 469 FLATBUSH AVENUE, NY",wendy's,3.4
30191841,"dj reynolds pub and restaurant 351 WEST   57 STREET, NY",d.j. reynolds,3.5
40356018,"riviera caterer 2780 STILLWELL AVENUE, NY",riviera,4.8
40356151,"brunos on the boulevard 8825 ASTORIA BOULEVARD, NY",events by bruno's,3.8
40356483,"wilken's fine food 7114 AVENUE U, NY",wilkens fine foods,3.4
40356731,"taste the tropics ice cream 1839 NOSTRAND AVENUE, NY",taste the tropics,4.4
40357217,"wild asia 2300 SOUTHERN BOULEVARD, NY",SEARCH FAILURE,
40359705,"nathan's famous 1310 SURF AVENUE, NY",nathan's famous - coney island,4.1
40360045,"seuda foods 705 KINGS HIGHWAY, NY",seuda foods inc,3.4
40360076,"carvel ice cream 203 CHURCH AVENUE, NY",carvel,4
40361322,"carvel ice cream 26515 HILLSIDE AVENUE, NY",carvel,4.2
40361606,"the movable feast 284 PROSPECT PARK WEST, NY",the movable feast,3
40361618,"sal's deli 12908 20 AVENUE, NY",sal's deli,4.5
40361708,"bully's deli 759 BROADWAY, NY",bullys deli,4
40361998,"steve chu's deli & grocery 3406 10 STREET, NY",SEARCH FAILURE,
40362098,"harriet's kitchen 502 AMSTERDAM AVENUE, NY",harriet's kitchen,3.8
40362264,"p & s deli grocery 730 COLUMBUS AVENUE, NY",paul saini deli grocery,4.8
40362274,"angelika film center 18 WEST HOUSTON STREET, NY",angelika film center & café - new york,4.2
40362432,"ho mei restaurant 10305 37 AVENUE, NY",ho mei,4.1
40362715,"the country cafe 60 WALL STREET, NY",the country cafe,3.1
40362869,"shashemene int'l restaurant 195 EAST   56 STREET, NY",SEARCH FAILURE,
40363093,"carvel ice cream 1006 EAST  233 STREET, NY",carvel,4.1
40363098,"dunkin' donuts 56 COURT STREET, NY",dunkin' donuts,3.7
40363289,"happy garden 1236 238 SPOFFORD AVE, NY",chinese fried chicken,4
40363298,"cafe metro 625 8 AVENUE, NY",cafe metro,3
40363333,"tony's deli 1069 WYCKOFF AVENUE, NY",tony's deli & coffee shop,4.5
40363426,"lexler deli 405 LEXINGTON AVENUE, NY",lexler deli,4
40363427,"bagels n buns 2491 VICTORY BOULEVARD, NY",bagels & buns,4.3
40363565,"hot bagels 7905 METROPOLITAN AVENUE, NY",p & c bagels,3.3
40363630,"lorenzo & maria's 1418 THIRD AVENUE, NY",the lorenzo,3.6
40363644,"domino's 464 3 AVENUE, NY",domino's pizza,3.2
40363685,"berkeley 437 MADISON AVENUE, NY",SEARCH FAILURE,
40363834,"carvel ice cream 1111 HYLAN BOULEVARD, NY",carvel,4.4
40363920,"new golden billion 976 RUTLAND ROAD, NY",new golden billion chinese restaurant,3.9
40363945,"domino's 148 WEST   72 STREET, NY",domino's pizza,2.9
40364149,"auntie anne's pretzels 0 34 STREET, NY",auntie anne's pretzels,3.9
40364179,"spoonbread too 364 WEST  110 STREET, NY",miss mamie's spoonbread too,4.3
40364220,"kosher bagel hole 1423 AVENUE J, NY",kosher bagel hole,4.3
40364286,"plaza bagels & deli 73 NEW DORP PLAZA, NY",plaza bagel & deli,4.8
40364296,"happy garden 277 EAST KINGSBRIDGE ROAD, NY",happy garden,2.4
40364299,"b & m hot bagel & grocery 203 GIFFORDS LANE, NY",b & m hot bagels & grocery inc,4.4
40364305,"philadelphia grille express 10004 4 AVENUE, NY",philadelphia grille,4.3
40364335,"peter luger steakhouse 178 BROADWAY, NY",peter luger steak house,4.3
40364347,"metropolitan club 1 EAST   60 STREET, NY",metropolitan club,4.3
40364362,"21 club 21 WEST   52 STREET, NY",21 club,4.1
40364363,"manhem club 658 CLARENCE AVE, NY",manhem club inc,3.8
40364373,"isle of capri resturant 1028 3 AVENUE, NY",isle of capri,4.4
40364389,"old town bar & restaurant 45 EAST   18 STREET, NY",old town bar,3.9
40364439,"sevilla restaurant 62 CHARLES STREET, NY",sevilla,4.1
40364443,"criminal court bldg cafeteria 100 CENTRE STREET, NY",new york county criminal court,2.3
40364449,"gottscheer hall 657 FAIRVIEW AVENUE, NY",gottscheer hall,4.2
40364467,"nyac main dining room 180 CENTRAL PARK SOUTH, NY",new york athletic club,4.2
40364518,"7b bar 108 AVENUE B, NY",7b,4.5
40364529,"ben-best deli & restaurant 9640 QUEENS BOULEVARD, NY",ben's best,4.2
40364531,"cafe atelier (art students league) 215 WEST   57 STREET, NY",the art students league of new york,4.7
40364572,"donohue's steak house 845 LEXINGTON AVENUE, NY",donohue's steak house,3.9
40364576,"tout va bien 311 WEST   51 STREET, NY",tout va bien,4.2
40364581,"junior's 386 FLATBUSH AVENUE EXTENSION, NY",junior's restaurant,4
40364668,"marchis restaurant 251 EAST   31 STREET, NY",marchi's,4.4
40364681,"towne cafe 2602 EAST   15 STREET, NY",towne cafe,2.5
40364691,"the georgian suite kitchen .1-A EAST 77 ST, NY",SEARCH FAILURE,
40364715,"old homestead 56 9 AVENUE, NY",old homestead steakhouse,3.9
40364744,"new park pizzeria & restaurant 156-71 CROSSBAY BOULEVARD, NY",new park pizza,4.5
40364858,"douglaston club 600 WEST DRIVE, NY",douglaston club,5
40364863,"serendipity 3 225 EAST   60 STREET, NY",serendipity 3,3.7
40364889,"melody lanes 461 37 STREET, NY",melody lanes bowling center,3.5
40364920,"rizzo's fine pizza 3013 STEINWAY STREET, NY",rizzo's fine pizza,4.2
40364956,"the new starling athletic club of the bronx 2222 HAVILAND AVENUE, NY",SEARCH FAILURE,
40364958,"white horse tavern 567 HUDSON STREET, NY",white horse tavern,3.7
40365013,"crystal room 67 OLYMPIA BOULEVARD, NY",crystal room,4.4
40365022,"labetti's post # 2159 390 HYLAN BOULEVARD, NY",labetti post,5
40365043,"shell lanes 1 BOUCK COURT, NY",shell lanes,3.2
40365075,"mcsorley's old ale house 15 EAST    7 STREET, NY",mcsorley's old ale house,4.4
40365098,"forlinis restaurant 93 BAXTER STREET, NY",forlini's,4.5
40365120,"south shore swimming club 6736 HYLAN BOULEVARD, NY",south shore swimming club,3.6
40365166,"corner bistro 331 WEST    4 STREET, NY",corner bistro,4.1
40365226,"nostrand donut shop 1449 NOSTRAND AVENUE, NY",nostrand donut shop inc,4.6
40365239,"dorrian's red hand restaurant 1616 2 AVENUE, NY",dorrian's red hand restaurant,3.5
40365264,"la grenouille 3 EAST   52 STREET, NY",la grenouille,4.6
40365280,"como pizza 4035 BROADWAY, NY",como pizza,4.7
40365288,"keats restaurant 842 2 AVENUE, NY",keats bar,4
40365293,"angelo of mulberry st. 146 MULBERRY STREET, NY",angelo's of mulberry street,4
40365348,"panchito's 103 MACDOUGAL STREET, NY",panchito's,3.1
40365355,"new corner 7201 8 AVENUE, NY",new corner,4.3
40365361,"the princeton club 15 WEST   43 STREET, NY",princeton club of new york,4.1
40365387,"arturo's 106 WEST HOUSTON STREET, NY",arturo's,4.4
40365414,"le perigord 405 EAST   52 STREET, NY",le périgord,4.2
40365454,"joe & pat's pizzeria 1758 VICTORY BOULEVARD, NY",joe & pat's pizzeria & restaurant,4.3
40365472,"spain restaurant & bar 113 WEST   13 STREET, NY",spain restaurant,4.5
40365499,"yankee tavern 72 EAST  161 STREET, NY",yankee tavern,4.2
40365525,"donut pub 203 WEST   14 STREET, NY",the donut pub,4.4
40365546,"reben luncheonette 229 HAVEMEYER STREET, NY",reben luncheonette inc,4.6
40365577,"v & t restaurant 1024 AMSTERDAM AVENUE, NY",v & t,3.9
40365627,"jahn's restaurant 8104 37 AVENUE, NY",jahn's,4.3
40365632,"j&v famous pizza 6322 18 AVENUE, NY",j & v pizzeria,4.3
40365644,"joe allen restaurant 326 WEST   46 STREET, NY",joe allen,4
40365709,"il vagabondo restaurant 351 EAST   62 STREET, NY",il vagabondo,4.2
40365726,"barbetta restaurant 319321 323 W. 46TH ST., NY",barbetta,4.3
40365784,"gargiulo's restaurant 2911 WEST   15 STREET, NY",gargiulo's,4
40365789,"patsy's italian restaurant 236 WEST   56 STREET, NY",patsy's,4.2
40365841,"parkside restaurant 10701 CORONA AVENUE, NY",park side,4.4
40365844,"lavelle's admiral's club 4515 BROADWAY, NY",lavelles,4
40365871,"neary's pub 358 EAST   57 STREET, NY",neary's,4.2
40365882,"new york pizza suprema 413 8 AVENUE, NY",ny pizza suprema,4.4
40365893,"mcdwyers pub 331 EAST  204 STREET, NY",mcdwyer's pub,4.3
40365904,"mee sum cafe 26 PELL STREET, NY",mee sum,4.6
40365938,"nancy's restaurant 25541 JAMAICA AVENUE, NY",nancy's fireside,4.4
40365942,"hop kee restaurant 21 MOTT STREET, NY",hop kee,3.7
40365968,"nancy whiskey pub 1 LISPENARD ST, NY",nancy whiskey pub,4.2
40365972,"blarney bar 14609 JAMAICA AVENUE, NY","blarney bar,",4.7
40366002,"margherita pizza 16304 JAMAICA AVENUE, NY",margherita pizza,4.5
40366054,"healy's pub 10807 ROCKAWAY BEACH BOULEVARD, NY",healy's pub,4.3
40366109,"fifth avenue bingo 416 5 AVENUE, NY",american legion,3.4
40366132,"denino's pizzeria tavern 524 PORT RICHMOND AVENUE, NY",denino's pizzeria & tavern,4.4
40366154,"michael's restaurant 2929 AVENUE R, NY",michael’s of brooklyn,4.6
40366162,"lenihan's saloon 11909 ATLANTIC AVENUE, NY",lenihan's,4.6
40366222,"killarney rose 80 BEAVER STREET, NY",SEARCH FAILURE,
40366230,"don peppe 13558 LEFFERTS BOULEVARD, NY",don peppe,4.4
40366356,"blarney castle 20224 ROCKAWAY POINT BOULEVARD, NY",blarney castle,4.6
40366361,"three star restaurant 1611 AVENUE U, NY",three star restaurant,4.2
40366379,"blarney rock 137 WEST   33 STREET, NY",blarney rock pub,4.2
40366381,"dangerfield's night club 1118 1 AVENUE, NY",dangerfield's,3.1
40366396,"desmond's tavern 433 PARK AVENUE SOUTH, NY",desmond's tavern,3.7
40366425,"naomi kosher pizza 6828 MAIN STREET, NY",naomi's,4.4
40366471,"roll-n-roaster 2901 EMMONS AVENUE, NY",roll n roaster,4.4
40366473,"tio pepe 168 WEST    4 STREET, NY",tio pepe,3.6
40366487,"brennan & carr 3432 NOSTRAND AVENUE, NY",brennan's,4.3
40366497,"the punch bowl 5820 BROADWAY, NY",the punch bowl,4
40366543,"jardin de china rest 3737 JUNCTION BOULEVARD, NY",jardin de china,4.4
40366549,"irish cottage 10807 72 AVENUE, NY",irish cottage,3.9
40366574,"blarney stone 11 TRINITY PLACE, NY",blarney stone,3.5
40366586,"shimons kosher pizza 7124 MAIN STREET, NY",shimon's kosher pizza,4.2
40366643,"the riviera cafe 225 WEST    4 STREET, NY",riviera cafe & sports bar,3.5
40366652,"fascati's pizzeria 80 HENRY STREET, NY",fascati pizzeria,4.2
40366661,"baby bo's cantina 627 2 AVENUE, NY",baby bo's cantina,4.2
40366711,"li greci's staaten restaurant 697 FOREST AVENUE, NY",li greci's staaten,4.6
40366716,"shun lee palace restaurant 155 EAST   55 STREET, NY",shun lee palace,3.9
40366742,"tamaqua 84 EBONY COURT, NY",tamaqua bar & marina,4.3
40366748,"munch time diner 21 EAST  170 STREET, NY",munch time,3.7
40366812,"cara mia 22020 HILLSIDE AVENUE, NY",cara mia restaurant,4.4
40366833,"ihop 4340 BOSTON ROAD, NY",ihop,4
40366857,"maloney's bar 8769 SUTPHIN BOULEVARD, NY",maloney's,4.1
40366879,"la fusta restaurant 8032 BAXTER AVENUE, NY",la fusta,4.1
40366928,"richmond county country club 135 FLAGG PLACE, NY",richmond county country club,4.1
40366929,"little brown jug 12402 JAMAICA AVENUE, NY",little brown jug inc,4.4
40366938,"lulu's coffee shop 1191 CASTLE HILL AVENUE, NY",lulu's coffee shop,4.1
40366961,"mitchell's restaurant 617 VANDERBILT AVENUE, NY",mitchell's soul food,4.5
40366993,"finnegan's wake pub 1361 FIRST AVENUE, NY",finnegan's wake,3.9
40367005,"da vinci pizza 6514 18 AVENUE, NY",davinci pizzeria,4.4
40367038,"mexico lindo restaurant 459 2 AVENUE, NY",mexico lindo,4.2
40367161,"marina delray 2894 SCHURZ AVE, NY",marina del rey caterers,4.6
40367164,"new floridian diner 2301 FLATBUSH AVENUE, NY",floridian diner,3.9
40367179,"twins pub 421 9 AVENUE, NY",twins pub,4.2
40367183,"narrows coffee shop 10001 4 AVENUE, NY",narrows coffee shop,4.7
40367189,"broome street bar 363 WEST BROADWAY, NY",kenn's broome street bar,4.1
40367232,"o'hanlon's pub 2257 31 STREET, NY",o'hanlons bar,4.7
40367240,"charlies sports bar 4408 60TH ST. - STORE, NY",charlies sports bar,4.4
40367241,"jg melon restaurant 1291 3 AVENUE, NY",jg melon,4
40367278,"jack's pizza & pasta 21249 26 AVENUE, NY",jack's pizza,3.9
40367338,"tap room 180 CENTRAL PARK SOUTH, NY",hellcat annie's tap room,4.3
40367339,"cocktail room (nyac) 180 CENTRAL PARK SOUTH, NY",new york athletic club,4.2
40367365,"flame restaurant coffee house 893 9 AVENUE, NY",flame,3.8
40367373,"jackson hole 232 EAST   64 STREET, NY",jackson hole,4.3
40367377,"zum stammtisch 6946 MYRTLE AVENUE, NY",zum stammtisch,4.4
40367407,"john's restaurant 302 EAST   12 STREET, NY",john's of 12th street,4
40367420,"grassroot tavern 20 ST MARKS PLACE, NY",grassroots tavern,4.1
40367442,"buddy's wonder bar 17 HARRISON AVENUE, NY",buddy's wonder bar,3
40367481,"the assembly bar 7302 COOPER AVENUE, NY",SEARCH FAILURE,
40367534,"mr broadway kosher restaurant 1372 BROADWAY, NY",mr. broadway,3.9
40367540,"piccola venezia 4201 28 AVENUE, NY",piccola venezia,4.5
40367544,"amoun 406 EAST   73 STREET, NY",amoun moroccan cuisine & lounge,3.8
40367570,"ni-ni's cafe 710 NEW DORP LANE, NY",nini's cafe & p k's lounge,4.4
40367677,"capitol restaurant 4933 BROADWAY, NY",capitol,4.6
40367715,"la bonne soupe bistro 48 WEST   55 STREET, NY",la bonne soupe,4.1
40367728,"mimis restaurant & bar 984 SECOND AVENUE, NY",mimi's cafe,3.6
40367749,"lenny's clam bar/nana's breakfast 16103 CROSSBAY BOULEVARD, NY",lenny’s clam bar & restaurant,4.2
40367752,"griffis faculty club 521 EAST   68 STREET, NY",griffis faculty club inc,2.3
40367766,"gray's papaya 2080 BROADWAY, NY",gray's papaya,4
40367789,"dani pizza and restaurant 8128 LEFFERTS BOULEVARD, NY",dani's house of pizza,4.3
40367790,"mcdonald's 943 FLATBUSH AVENUE, NY",mcdonald's,3
40367829,"mcdonald's 7550 101 AVENUE, NY",mcdonald's,3.3
40367841,"fiorellos 1900 BROADWAY, NY",cafe fiorello,4
40367860,"lb spumoni gardens 2725 86 STREET, NY",l&b spumoni gardens,4.5
40367870,"amore pizzeria & restaurant 3027 STRATTON STREET, NY",amore pizzeria & ristorante,4.2
40367946,"the lark's nest 4280 KATONAH AVE, NY",the lark's nest pub,5
40368018,"terrace cafe 2300 SOUTHERN BOULEVARD, NY",SEARCH FAILURE,
40368021,"zoo brews-bronx zoo 2300 SOUTHERN BOULEVARD, NY",bronx zoo,4.4
40368022,"cool zone 2300 SOUTHERN BOULEVARD, NY",SEARCH FAILURE,
40368025,"beaver/northern pond 2300 SOUTHERN BOULEVARD, NY",SEARCH FAILURE,
40368026,"african market (baboon cafe) 2300 SOUTHERN BOULEVARD, NY",SEARCH FAILURE,
40368034,"roadhouse restaurant 1402 CLOVE ROAD, NY",the roadhouse,3.4
40368065,"ford foundation cafeteria 320 EAST   43 STREET, NY",ford foundation,4.5
40368157,"elephant & castle 68 GREENWICH AVENUE, NY",flying elephants at fox tower,4.2
40368207,"mill basin kosher deli 5823 AVENUE T, NY",mill basin deli,4
40368223,"oyster bar 0 GRAND CENTRAL TERMINAL, NY",grand central oyster bar & restaurant,3.7
40368271,"cherry tavern 441 EAST    6 STREET, NY",cherry tavern,4.2
40368291,"colonnade diner 2001 HYLAN BOULEVARD, NY",colonnade diner,3.4
40368313,"red flame diner 67 WEST   44 STREET, NY",the red flame,4
40368318,"maggies place 21 EAST   47 STREET, NY",maggie's place,3.8
40368338,"brady's bar 1583 2 AVENUE, NY",brady's,4.2
40368346,"da silvano restaurant 260 6 AVENUE, NY",da silvano,3.5
40368374,"jimmy's corner 140 WEST   44 STREET, NY",jimmy's corner,4.5
40368526,"frost restaurant 193 FROST STREET, NY",frost,4.2
40368552,"sammy's steakhouse 155157 CHRISTIE ST., NY",famous sammy's,4
40368555,"il cortile restaurant 123 MULBERRY STREET, NY",il cortile,3.9
40368577,"denny's pub 106 BEVERLY ROAD, NY",denny's pub,3.8
40368581,"maries crisis cafe 59 GROVE STREET, NY",marie's crisis cafe,4.5
40368632,"new parkway restaurant 7504 13 AVENUE, NY",parkway restaurant,4.4
40368725,"cafe riazor 245 WEST   16 STREET, NY",café riazor,4.2
40368752,"raouls 180 PRINCE STREET, NY",raoul's,4.4
40368763,"the brook 111 EAST   54 STREET, NY",the brook inc.,5
40368801,"marbella restaurant 22033 NORTHERN BOULEVARD, NY",marbella restaurant,4.7
40368809,"p.j.' s 18925 UNION TURNPIKE, NY",pj' s,5
40368824,"doubles club 783 5 AVENUE, NY",doubles club,4.6
40368897,"hatsuhana restaurant 17 EAST   48 STREET, NY",hatsuhana,4.3
40368971,"la mangeoire 1008 2 AVENUE, NY",la mangeoire,3.9
40369012,"valentino's pizza 7147 KISSENA BOULEVARD, NY",valentino's pizzeria & restaurant,4.4
40369016,"viand coffee shop 673 MADISON AVENUE, NY",viand,3.7
40369017,"palm too 840 2 AVENUE, NY",the palm too,4.3
40369051,"steve's coffee shop 403416 2ND ST, NY",SEARCH FAILURE,
40369087,"blue bay restaurant 3533 JOHNSON AVENUE, NY",blue bay,3.5
40369111,"the hytes bar 1082 ST JOHNS PLACE, NY",SEARCH FAILURE,
40369139,"pergola des artistes 252 WEST   46 STREET, NY",pergola des artistes,4
40369158,"jody's club 372 FOREST AVENUE, NY",jody's club forest,4.6
40369165,"reif's tavern 302 EAST   92 STREET, NY",reif's tavern,4.3
40369213,"whitestone lanes 3005 WHITESTONE EXPRESSWAY, NY",whitestone lanes,3.7
40369262,"john's pizzeria 8502 GRAND AVENUE, NY",john's pizzeria,4.3
40369287,"two steps down 240 DE KALB AVENUE, NY",two steps down restaurant,5
40369299,"seashore restaurant 591 CITY ISLAND AVE, NY",sea shore,3.8
40369418,"caffe reggio 119 MAC DOUGAL STREET, NY",caffe reggio,4.1
40369461,"cafe un deux trois 123 WEST   44 STREET, NY",cafe un deux trois,3.9
40369482,"armando's pizza 1366 PENNSYLVANIA AVENUE, NY",armandos pizza,3.7
40369495,"dan tempura 2018 BROADWAY, NY",dan tempura house,3.5
40369521,"knickerbocker bar & grill 33 UNIVERSITY PLACE, NY",knickerbocker bar & grill,3.8
40369535,"mcdonald's 395 FLATBUSH AVENUE EXTENSION, NY",mcdonald's,3.1
40369580,"el pote espanol 718 2 AVENUE, NY",el pote español,4.1
40369601,"bronx grill 2375 EAST TREMONT AVENUE, NY",bronx grill,2.6
40369608,"the river cafe 1 WATER STREET, NY",the river café,4.2
40369619,"mudville saloon 126 CHAMBERS STREET, NY",mudville 9,3.8
40369641,"johnny's reef restaurant 2 CITY ISLAND AVE, NY",johnny's reef,4.3
40369667,"white castle 846 EMPIRE BOULEVARD, NY",white castle,3.7
40369669,"white castle 2701 BOSTON POST ROAD, NY",white castle,4.1
40369675,"white castle 4302 QUEENS BOULEVARD, NY",white castle,3.8
40369676,"white castle 4202 FT HAMILTON PARKWAY, NY",white castle,3.9
