3-day humidity,3-day temp
60.66666667,39.33333333
,61.66666667
68.66666667,77.33333333
56.66666667,58.33333333
67.66666667,63.66666667
34,63.33333333
61,60.66666667
38.66666667,63
87.33333333,44.5
48.33333333,28.66666667
67.33333333,29.66666667
59.33333333,40.66666667
86,52.66666667
56.33333333,74.33333333
57.33333333,85
47.66666667,48.33333333
58.33333333,80.66666667
60.33333333,44.66666667
60.66666667,56.33333333
55.33333333,43
42.33333333,39
87.33333333,44.5
54,67
76.66666667,44.66666667
51,54.66666667
60.66666667,64.33333333
52.33333333,53.66666667
60.66666667,64.33333333
65,41.66666667
68,81.66666667
59.66666667,49.66666667
66.66666667,46.66666667
68.33333333,52.33333333
50,33.66666667
72,74
63.33333333,55
61.66666667,43
71,43
72,70.33333333
50.33333333,49.66666667
56,53
58.33333333,60.33333333
58,60
70,35.66666667
32.66666667,28.66666667
53.33333333,42.33333333
59,75.33333333
80.33333333,40.33333333
69.5,62.33333333
57.66666667,52.66666667
53.66666667,41.33333333
61.66666667,85.66666667
42.66666667,24.66666667
73,74.66666667
76,51
66.66666667,44.33333333
49.33333333,41.66666667
64.33333333,82.33333333
,61.33333333
65.66666667,37
68,82.33333333
67.66666667,56.33333333
68,58.66666667
82.33333333,63.33333333
66.33333333,61
63.33333333,55
87.33333333,44.5
63.66666667,61.33333333
48.33333333,21.33333333
70.33333333,28
65.66666667,82.33333333
66,74
67.66666667,52
70,35.66666667
70.33333333,42.66666667
57,75.66666667
70.33333333,42.66666667
52,37.66666667
47.33333333,39.66666667
43.66666667,52.33333333
54.33333333,82
59.66666667,69.33333333
70.33333333,76.66666667
67.66666667,52
55.66666667,68
59.33333333,36
50.33333333,61.66666667
63.33333333,55
69,57
74,64.33333333
48,41.66666667
40.66666667,63.66666667
,60.66666667
61.66666667,53.33333333
51.66666667,47.33333333
68.33333333,53
61,81
51.66666667,39.33333333
64.66666667,37
85.33333333,64.33333333
54,57.33333333
46,50.33333333
53,47
71,81
51,73.66666667
50.33333333,39
69.66666667,36
70,47
59.66666667,54.66666667
73.33333333,70
65,55
49.66666667,48.66666667
60.66666667,42.33333333
55.66666667,76.66666667
36.66666667,44.66666667
86,52.66666667
52.33333333,58.33333333
59.66666667,44.33333333
77.66666667,49.33333333
52.33333333,34.66666667
76.33333333,38
53.33333333,52
36,39
66,45.33333333
41,55
72.66666667,46
48,63.33333333
63.33333333,45.33333333
77.33333333,46
59.66666667,53
88,53
51.33333333,49.66666667
57,82
67.66666667,52
76.66666667,44.66666667
59.66666667,56.33333333
67,64.66666667
51.33333333,50.66666667
58.66666667,45.33333333
47.33333333,42
47,53.66666667
76.33333333,77.33333333
52.66666667,51.66666667
51.33333333,77
69,59
48.66666667,37.33333333
62,39.66666667
55.33333333,36
71.33333333,38.33333333
59.33333333,71.66666667
40,49
88,53
68,82.33333333
61.66666667,69.66666667
87.66666667,44.66666667
73.33333333,70
61.66666667,85.66666667
56,47.33333333
55.66666667,24.66666667
56.66666667,48.33333333
48,46
72.33333333,65
54.33333333,33
49.33333333,41.66666667
52.33333333,68.33333333
90.66666667,53.33333333
70.66666667,37.66666667
53,27
57,53.66666667
58.33333333,79
59.66666667,53
58.33333333,42.33333333
59.33333333,71.33333333
70.66666667,67
89.66666667,41
71,81
77.66666667,49.33333333
54.33333333,35.66666667
80.33333333,40.33333333
65.66666667,43
56.33333333,75.66666667
61,47.33333333
80.66666667,74.66666667
53.66666667,43
56,41.33333333
87.33333333,52.33333333
46,56.66666667
72,76.33333333
67.66666667,63.66666667
67.66666667,63.66666667
67.66666667,63.66666667
55,40
43.66666667,52
47,36.66666667
58.33333333,43
67,54.33333333
69.66666667,84.33333333
59.33333333,20.33333333
27.66666667,63.33333333
54.33333333,82
62.66666667,49.33333333
61.66666667,77.66666667
63.33333333,34.66666667
55.66666667,52
56.66666667,41.33333333
43.66666667,51
87,42
75,55
71,49
80.33333333,52.66666667
53.66666667,73
60.33333333,53.33333333
51.33333333,59
59.66666667,56.33333333
44.33333333,36
48,35
59.33333333,36
79,47
57,73.66666667
50.66666667,52
55,50
64,47.66666667
48.33333333,33.33333333
34.33333333,63.66666667
44.66666667,47.66666667
62.33333333,74.66666667
66.33333333,52
63,78
54.33333333,37.66666667
59.33333333,41.33333333
54,36.66666667
60,39.66666667
48,32
64.66666667,55.33333333
56.66666667,58.33333333
54,33
47.33333333,34.66666667
67.33333333,79.33333333
55.66666667,47.33333333
70,65
55.33333333,74.33333333
72.33333333,78.33333333
51.66666667,51.33333333
68.66666667,51.33333333
87,42
71.66666667,49.33333333
57.66666667,56.66666667
49.33333333,63
72.66666667,43.33333333
34,63.33333333
52,73
55,81
41,31.33333333
60.66666667,39.33333333
71.33333333,38.33333333
48.66666667,61.66666667
64.66666667,76
46.33333333,48.66666667
67.66666667,60.33333333
86.66666667,61.66666667
48.66666667,55.66666667
64.33333333,53.33333333
69.66666667,36
57,38.33333333
70,64.66666667
51,58.66666667
82,61.66666667
77.33333333,51
47,36.66666667
87,42
82,63.66666667
63.66666667,61.33333333
65,38
38.33333333,63.66666667
63,58
48.33333333,28.66666667
46,70.33333333
68,81.33333333
61.33333333,44.66666667
59.33333333,43
51.66666667,42
38.33333333,56.33333333
78,74.66666667
43.66666667,62.66666667
81,74
73,50.33333333
68.33333333,53
53,62
49.33333333,76.33333333
63,36.33333333
52,49.66666667
67.33333333,52.66666667
67.66666667,52
52.66666667,60
55.33333333,36
53.33333333,44.66666667
68.66666667,51.33333333
69.66666667,47.33333333
89.66666667,41
68,76
54,49.33333333
61,60.66666667
70,83
69.66666667,51
52.66666667,35.33333333
54.66666667,49
53.33333333,52
57,58
61.33333333,51
61.33333333,52
68.66666667,37
61.66666667,78.33333333
49.33333333,76.33333333
56.33333333,63.66666667
53.66666667,46
87.66666667,44.66666667
54,57.33333333
53,53.33333333
73.66666667,41.33333333
,61.66666667
63.33333333,55
68,72.66666667
68.33333333,53
69.66666667,44
71.66666667,77.33333333
59.33333333,57
35,40.33333333
55.33333333,43
48.33333333,27
54,57.33333333
71,44
42.33333333,39
55,51
73,35.66666667
68.66666667,77.33333333
64,32
62,57.33333333
81.66666667,51.66666667
58.33333333,43
77.66666667,49.33333333
57,29.33333333
53,46
53,37
65.66666667,37
54.33333333,33
54,38
55.66666667,68
56.66666667,58.33333333
55.66666667,51.66666667
71,44
,63.33333333
65.33333333,51
53.66666667,42.33333333
56.33333333,56.33333333
45,55
60.66666667,45
71.66666667,64.33333333
52,49.66666667
60.33333333,48.66666667
39.33333333,44.66666667
87,42
69,69
64.66666667,44
61.66666667,57.33333333
74,41
67,62.66666667
59.33333333,68
57.33333333,72.66666667
54,38
60.66666667,49.33333333
48.66666667,55.66666667
53.66666667,39.33333333
64.66666667,37
42.66666667,50
80,66.33333333
70.33333333,51
58.66666667,46.33333333
54,38
79,47
64.66666667,55.33333333
66.66666667,61
56,50.33333333
59.66666667,44.33333333
74.33333333,75
46,38.66666667
61.66666667,57.33333333
44,37
89,45.66666667
40,47.33333333
80.33333333,40.33333333
47.66666667,38
65,38
51,58.66666667
73,66.66666667
51.66666667,45.66666667
46.33333333,48.66666667
63,73.33333333
70,65
67.33333333,46.66666667
82,61.66666667
60,75.66666667
57.33333333,62.66666667
,61.66666667
51.33333333,50.66666667
54.66666667,32
61.66666667,69.66666667
62,54
80,43
48.66666667,55.66666667
71.66666667,46
53.66666667,51.66666667
49.66666667,55.66666667
71,53.33333333
58.66666667,40.66666667
51,59
54.66666667,62
59.66666667,53
82.66666667,50
53.33333333,36
55.66666667,68
48,35
72.33333333,65
89,45.66666667
51,73.66666667
72.33333333,50.66666667
49,55.66666667
,59
39.33333333,62.66666667
43.33333333,50
44.33333333,59
77.66666667,46.33333333
60.33333333,48.66666667
65,53.33333333
59.66666667,52
87,42
69.5,62.33333333
76.33333333,40.33333333
81,74
75,55
69,63.66666667
66,74
57,60.66666667
85,50
52,49.66666667
83.33333333,53
57.66666667,35.66666667
69,63.66666667
82.66666667,50
54.33333333,37.66666667
53.33333333,37.66666667
59,81
81.66666667,76.33333333
48.33333333,28.66666667
74.66666667,74.66666667
53.33333333,81.66666667
64.33333333,53.33333333
81,48
59.66666667,54.66666667
60.66666667,74.66666667
67.66666667,52
67.33333333,29.66666667
43.66666667,62.66666667
53.33333333,55.33333333
48.66666667,37.33333333
45.33333333,49.66666667
65.66666667,45.66666667
62.66666667,49.33333333
60.66666667,56.33333333
69.66666667,36
59.66666667,40
56,23
34.33333333,60.66666667
80.66666667,42
50.66666667,46.66666667
53.33333333,38.66666667
44.66666667,45.66666667
61,82
58.33333333,37.66666667
56,53
53,52.66666667
51.33333333,50.66666667
61.66666667,44
77.66666667,46.33333333
37.66666667,61.66666667
44.33333333,37.66666667
34.33333333,63.66666667
76.33333333,66
65.33333333,76
66.66666667,53
61.66666667,77.66666667
27.66666667,63.33333333
55.66666667,52
45.66666667,51
63.66666667,83.33333333
58,63.33333333
64,50.33333333
72.66666667,46
87,42
55,49.33333333
70.33333333,32.33333333
63.33333333,55
80.66666667,52
51.66666667,51.33333333
53,78.66666667
53,46
61,55
60,39.66666667
42,56.33333333
53.66666667,47.33333333
40,49
64.33333333,82.33333333
,61.66666667
71.66666667,77.33333333
80.66666667,40.33333333
68.66666667,58.33333333
48.66666667,48
74.66666667,51.66666667
61,76.33333333
59.33333333,77.33333333
63.66666667,63.66666667
53.66666667,51.66666667
69,40.33333333
82,63.66666667
59.66666667,53
63.33333333,34.66666667
56.66666667,58.33333333
54.66666667,49
71,74
28.66666667,61.33333333
47.33333333,34.66666667
64,81
68.66666667,53.66666667
80.66666667,42
53.66666667,85.33333333
38.33333333,63.66666667
52,47.66666667
58.33333333,58.66666667
46,37.66666667
60.33333333,44.66666667
65,67.33333333
59.66666667,44.33333333
53,43.66666667
69,69
63,47.33333333
71,74
40.33333333,27.66666667
81,74
40,47.33333333
27.66666667,63.33333333
58.33333333,79
69,65.33333333
67.66666667,52
59.33333333,43
48.33333333,36.33333333
71.66666667,77.33333333
62,83
60.66666667,87
76.33333333,66
68.33333333,36.66666667
62.33333333,39
55.66666667,76.66666667
55.33333333,36
53.33333333,38.66666667
54,57.33333333
79,64
76.33333333,40.33333333
66,76.66666667
69.66666667,36
63.66666667,61.33333333
