,3-day humidity,3-day temp
0,58.0,47.0
1,61.3333333333,60.3333333333
2,65.0,53.3333333333
3,68.0,58.6666666667
4,53.3333333333,52.0
5,58.0,47.0
6,64.6666666667,55.3333333333
7,64.3333333333,46.6666666667
8,79.3333333333,41.3333333333
9,65.0,53.3333333333
10,54.0,49.3333333333
11,53.3333333333,52.0
12,79.3333333333,41.3333333333
13,67.0,54.3333333333
14,67.0,54.3333333333
15,68.0,58.6666666667
16,67.0,54.3333333333
17,67.3333333333,49.0
18,67.3333333333,49.0
19,68.0,58.6666666667
20,60.3333333333,53.3333333333
21,79.0,60.3333333333
22,60.3333333333,53.3333333333
23,64.6666666667,55.3333333333
24,67.0,54.3333333333
25,67.0,54.3333333333
26,67.0,54.3333333333
27,61.3333333333,60.3333333333
28,79.3333333333,41.3333333333
29,60.3333333333,53.3333333333
30,58.0,47.0
31,68.0,58.6666666667
32,64.3333333333,46.6666666667
33,53.3333333333,52.0
34,54.0,49.3333333333
35,53.3333333333,52.0
36,61.3333333333,60.3333333333
37,53.3333333333,52.0
38,79.3333333333,41.3333333333
39,58.0,47.0
40,68.0,58.6666666667
41,56.0,57.3333333333
42,54.0,49.3333333333
43,68.0,58.6666666667
44,53.3333333333,52.0
45,53.3333333333,52.0
46,67.0,54.3333333333
47,65.0,53.3333333333
48,64.3333333333,46.6666666667
49,54.0,49.3333333333
50,55.6666666667,77.0
51,64.6666666667,55.3333333333
52,67.0,54.3333333333
53,53.3333333333,52.0
54,64.6666666667,55.3333333333
55,79.3333333333,41.3333333333
56,64.3333333333,46.6666666667
57,60.3333333333,53.3333333333
58,67.0,54.3333333333
59,60.3333333333,53.3333333333
60,58.0,47.0
61,54.0,49.3333333333
62,54.0,49.3333333333
63,61.3333333333,60.3333333333
64,68.0,58.6666666667
65,53.3333333333,52.0
66,64.6666666667,55.3333333333
67,67.0,54.3333333333
68,61.3333333333,60.3333333333
69,64.6666666667,55.3333333333
70,65.0,53.3333333333
