,3-day humidity,3-day temp
30112340.0,58.0,47.0
40364581.0,61.3333333333,60.3333333333
40365546.0,65.0,53.3333333333
40373888.0,68.0,58.6666666667
40375972.0,53.3333333333,52.0
40379580.0,58.0,47.0
40380648.0,64.6666666667,55.3333333333
40385885.0,64.3333333333,46.6666666667
40388218.0,79.3333333333,41.3333333333
40390209.0,65.0,53.3333333333
40393519.0,54.0,49.3333333333
40394560.0,53.3333333333,52.0
40395526.0,79.3333333333,41.3333333333
40397189.0,67.0,54.3333333333
40399174.0,67.0,54.3333333333
40400635.0,68.0,58.6666666667
40400989.0,67.0,54.3333333333
40401937.0,67.3333333333,49.0
40513133.0,67.3333333333,49.0
40513184.0,68.0,58.6666666667
40515597.0,60.3333333333,53.3333333333
40525625.0,79.0,60.3333333333
40534870.0,60.3333333333,53.3333333333
40546676.0,64.6666666667,55.3333333333
40546849.0,67.0,54.3333333333
40585040.0,67.0,54.3333333333
40590237.0,67.0,54.3333333333
40596377.0,61.3333333333,60.3333333333
40613196.0,79.3333333333,41.3333333333
40624607.0,60.3333333333,53.3333333333
40625667.0,58.0,47.0
40634715.0,68.0,58.6666666667
40637864.0,64.3333333333,46.6666666667
40659197.0,53.3333333333,52.0
40698410.0,54.0,49.3333333333
40700293.0,53.3333333333,52.0
40733411.0,61.3333333333,60.3333333333
40741728.0,53.3333333333,52.0
40745618.0,79.3333333333,41.3333333333
40787908.0,58.0,47.0
40799593.0,68.0,58.6666666667
40829674.0,56.0,57.3333333333
40864264.0,54.0,49.3333333333
40872325.0,68.0,58.6666666667
40872794.0,53.3333333333,52.0
40874933.0,53.3333333333,52.0
40928416.0,67.0,54.3333333333
40928698.0,65.0,53.3333333333
40932869.0,64.3333333333,46.6666666667
40934297.0,54.0,49.3333333333
40959339.0,55.6666666667,77.0
40969008.0,64.6666666667,55.3333333333
40975656.0,67.0,54.3333333333
40979620.0,53.3333333333,52.0
40980389.0,64.6666666667,55.3333333333
40988630.0,79.3333333333,41.3333333333
40992205.0,64.3333333333,46.6666666667
40997858.0,60.3333333333,53.3333333333
40997888.0,67.0,54.3333333333
40998983.0,60.3333333333,53.3333333333
41005098.0,58.0,47.0
41010361.0,54.0,49.3333333333
41019942.0,54.0,49.3333333333
41029356.0,61.3333333333,60.3333333333
41042427.0,68.0,58.6666666667
41050020.0,53.3333333333,52.0
41065858.0,64.6666666667,55.3333333333
41074315.0,67.0,54.3333333333
41086102.0,61.3333333333,60.3333333333
41088067.0,64.6666666667,55.3333333333
41098126.0,65.0,53.3333333333
41100544.0,61.3333333333,60.3333333333
41112819.0,79.3333333333,41.3333333333
41114235.0,68.0,58.6666666667
41116590.0,64.3333333333,46.6666666667
41120876.0,64.6666666667,55.3333333333
41124322.0,79.3333333333,41.3333333333
41125769.0,65.0,53.3333333333
41131819.0,53.3333333333,52.0
